ENERGY,TIME,RA,DEC
0.10976090000000001,263607151.5306351,329.18515,-14.089888
1.1196263,263607679.04748023,326.5889,-13.915095
0.44686176,263607724.75107884,329.94934,-16.647058
0.2645528,263607783.87700403,333.0068,-23.027023
0.20777919,263608124.3077651,330.41614,-16.336872
0.11313854999999999,263608511.6493924,333.2254,-20.515776
0.11308929999999999,263609068.90157083,328.40823,-18.026129
46.427492,263609262.87062535,325.8655,-14.501083
0.16720314,263609370.42819768,327.1134,-13.75834
0.104666176,263609377.4995713,327.76132,-13.629017
0.119058495,263609388.87535825,330.00867,-15.640223
0.11905259,263609409.23934484,332.17667,-22.186028
0.13025923,263609430.2665279,327.56232,-15.497488
0.19788567,263609434.13431948,327.98663,-15.365479
0.1528378,263609435.624196,327.75723,-14.973961
0.111832405,263609442.14771256,332.91534,-16.991945
0.13572664,263609444.44887552,333.67715,-17.888153
1.6609,263609449.9872336,325.7926,-14.581242
0.10563454400000001,263609455.8670906,327.03656,-15.714174
0.39201305999999997,263609456.47989637,328.5146,-13.844326
0.15019156,263609457.4497674,332.37183,-14.68788
0.13076715,263609457.4684358,330.26047,-15.465824
0.16139122,263609463.18690372,326.1379,-14.660753
0.32484216,263609468.88526985,327.44138,-16.043179
0.21174092,263609477.3752132,328.95984,-14.431673
0.11364376,263609479.58034924,328.72952,-18.188341
0.12466606,263609480.8798269,325.85165,-14.0777
0.15546449999999998,263609481.57707015,330.01788,-18.004265
0.106072815,263609482.1313808,333.09283,-15.377641
1.6925615999999999,263609493.2446108,328.13315,-15.129819
0.21549933,263609494.2077119,327.05847,-15.310867
3.1847957,263609498.6375441,327.30096,-16.384546
0.10035059,263609498.7579498,329.38165,-12.348787
1.0776885,263609499.02020743,325.83612,-14.20297
1.2943004,263609499.8739733,327.65067,-15.622003
0.11738599999999999,263609500.7833601,331.3149,-12.435808
0.11210232,263609502.5827909,333.90115,-18.328081
0.35652368,263609502.5882981,326.05853,-15.077265
0.52445166,263609503.30802456,327.6684,-14.766686
0.21203137,263609504.2070975,325.93207,-13.76016
0.5564574,263609506.579325,328.1583,-17.009888
0.16953821,263609508.5870559,328.6437,-13.215542
0.10922264,263609508.5957084,330.99442,-17.753956
0.10999442999999999,263609510.57683316,330.169,-18.555075
0.1767958,263609511.89692107,327.6098,-12.873945
0.12986577,263609512.12764344,330.0224,-12.57033
0.109809814,263609514.41949263,333.42676,-18.216251
0.99800793,263609514.8139433,328.92072,-13.141041
0.5574778,263609515.9861184,328.1155,-14.486973
3.9817212,263609516.0740241,329.3473,-14.681143
0.8831862,263609516.31208488,329.2376,-12.692925
0.44239612,263609518.8186429,327.2266,-14.54859
0.23116454,263609519.34407312,328.0722,-13.179638
0.52831854,263609519.7017783,326.88074,-13.2963915
0.121173004,263609519.8792621,327.7707,-13.424247
0.19965397999999998,263609522.8458981,328.71222,-13.249822
0.37293155,263609523.2348872,330.44043,-17.451403
0.16421586999999999,263609524.569082,329.81693,-17.407904
0.5919358,263609525.5462784,329.59064,-13.069614
0.8798665,263609525.7280911,329.25217,-15.327226
0.59834344,263609527.556194,327.67365,-16.808008
0.2868261,263609527.98151603,328.06995,-14.092786
0.16535570000000002,263609528.2923564,329.09247,-17.998594
0.41200494,263609528.55571017,326.69672,-14.120023
0.16488593,263609529.4902198,327.9317,-15.749849
0.21696484000000002,263609530.26026583,329.88705,-18.887594
1.889397,263609530.43490985,326.01535,-14.467923
0.40881945999999997,263609531.60672903,329.62454,-16.032759
0.27006387,263609534.9433072,325.97473,-14.502364
0.26003046,263609535.90170085,327.53027,-13.792115
0.15136565999999999,263609537.1825595,332.70285,-15.622847
0.4038966,263609537.66061795,333.96652,-13.312521
0.17641531,263609539.3212283,328.923,-15.3827305
0.14422864999999999,263609540.67592275,331.7895,-13.586558
0.15578854,263609541.9732844,328.40222,-17.173344
1.0547266,263609543.980706,329.35086,-18.593407
0.28521924000000004,263609546.5590417,326.01987,-15.056906
0.15362086,263609547.37311417,330.399,-13.320146
0.10746527,263609547.9036183,331.66754,-12.969922
0.7445752,263609548.02674124,326.1507,-13.936141
0.13328237999999998,263609550.11123613,329.3955,-13.028514
0.10213169999999999,263609550.57598236,328.1144,-12.520099
3.2353069999999997,263609551.68932623,329.52005,-17.218548
0.13218306999999999,263609553.63948265,329.29514,-18.204145
0.11951196,263609553.91142103,328.4181,-13.231729
0.2140602,263609555.22561172,330.45343,-19.139309
0.11110890000000001,263609555.5715053,330.7761,-13.832108
1.180578,263609555.84459832,331.33722,-12.572374
0.5144776000000001,263609556.0244853,328.82953,-16.45315
0.36514795,263609556.47987825,328.88885,-12.595838
0.20107112000000002,263609556.56729308,329.58353,-14.382891
0.47363168,263609557.14769453,328.14066,-13.98715
0.96107214,263609557.9508135,328.64725,-12.647157
0.70823883,263609558.121337,329.72217,-15.380025
0.420829,263609558.24856564,328.45886,-14.641499
1.0857468,263609558.48378584,330.4953,-13.016887
0.23890218,263609559.76249185,331.8361,-17.24078
0.25819574,263609560.05373123,328.38544,-17.117882
0.1759684,263609560.917256,329.00806,-15.208271
0.46624142,263609561.5419487,330.85394,-16.460571
0.8320875999999999,263609561.8445357,330.97623,-17.409801
