ENERGY,TIME,RA,DEC
159.52252,275631676.74852365,1.6729662,-79.778534
136.2106,275632134.96860665,0.006649877,-79.442795
403.8934,275632401.34368294,0.4727881,-80.39366
698.2355,275632505.8779564,2.2912965,-79.80892
314.74377,275632637.8790698,5.5175447,-80.77114
250.02943,275632698.98549694,5.9380417,-80.3529
1273.6536,275633387.66091406,4.4116235,-80.64316
550.5725,275633513.18737155,6.012668,-79.95509
126.91158,275633630.2665522,0.25110307,-80.7558
192.53268,275633747.0842126,3.504043,-79.95166
254.34999,275633797.72475815,0.60470253,-80.22535
179.74622,275638137.1103572,0.8143465,-80.28836
130.57672,275638170.4165593,8.905754,-80.33998
1196.2338,275638187.36126137,5.0455923,-80.431206
105.73948,275638210.67423075,5.6783214,-80.137314
133.7001,275638245.3902987,3.0829065,-79.2994
788.74963,275638252.10096353,3.5237923,-79.74479
251.98677,275638258.3321944,0.3309284,-79.66534
603.0678,275638260.9563584,2.0777614,-79.37767
102.11485,275638261.57987916,5.976959,-79.97338
765.3984,275638273.4859115,4.943261,-80.35812
145.80658,275638375.17527497,0.55471975,-79.009
205.89812,275638558.4399181,0.2770627,-79.10296
212.95837,275638581.64010304,2.1319172,-80.28068
338.7638,275638643.34824026,0.7399073,-79.288765
501.32202,275638646.02879345,5.992473,-80.58834
144.57278,275638818.8561253,3.7427924,-81.0798
116.12823,275638826.797775,4.368226,-79.5796
266.2269,275639214.18250716,4.49135,-80.29401
107.10461,275639264.0561334,1.1132425,-80.14105
165.67464,275639309.751937,7.95081,-80.5664
166.22519,275639332.74716866,2.7842224,-79.57106
771.3714,275639456.73784816,1.7042887,-79.38576
1963.3992,275639500.6101445,0.26635507,-79.9934
458.92923,275639523.8632644,1.4109367,-79.10288
6786.667,275639532.09970933,1.4939125,-79.4436
479.9335,275643820.2684318,5.091306,-80.72285
817.50903,275643866.43827546,2.2814288,-81.05051
536.89685,275643885.1715274,5.795313,-80.91452
3026.1277,275643899.97883767,1.4168696,-80.990074
407.97668,275643915.2007235,9.075263,-80.634125
1636.1434,275643917.90259033,0.82019025,-79.371704
241.50214,275643943.4159288,2.3651257,-80.34711
619.688,275643944.580833,2.8222165,-80.30683
557.89453,275643953.8995858,3.0047019,-80.29151
316.7358,275643959.0808255,6.0074277,-79.8629
213.34299,275643983.73256767,0.732198,-79.58325
331.75464,275644080.7241668,5.329196,-79.8262
438.2269,275644122.7839431,5.8420134,-79.985954
143.19843,275644133.94171494,5.8894053,-79.846634
251.98036,275644133.9761871,1.3045813,-80.34111
299.39108,275644156.565975,0.9638133,-78.968605
159.2191,275644182.7364515,9.906481,-80.700325
362.92123,275644184.9190455,11.509009,-80.468506
969.4338,275644209.7401421,5.27159,-80.16362
276.32498,275644289.29749256,9.67117,-80.44415
113.37628,275644301.00614166,7.962418,-80.75912
614.14716,275644332.7928,7.378112,-80.24363
131.09741,275644452.2482679,2.4952023,-79.70974
538.7374,275644491.30712193,5.3775263,-80.68528
440.66223,275645049.9275443,3.108248,-80.22236
310.31528,275645151.46183074,2.003095,-80.15056
162.04288,275645153.445178,7.431654,-80.29502
389.4719,275645158.9303835,0.04945245,-78.809044
671.1102,275645169.80489343,3.0647712,-79.88058
825.67224,275645240.56873584,7.02175,-80.03
114.35876,275645406.6093071,1.1698382,-79.71818
178.18036,275645416.9618655,0.43034932,-80.52647
102.14014,275649474.2188269,5.8023806,-79.85586
780.19666,275649534.60857666,1.150905,-79.05204
164.80453,275649575.72842354,1.2186462,-79.75669
415.26367,275649603.41379666,2.9753098,-80.50605
265.1707,275649636.0349834,0.998897,-79.872536
1252.0312,275649644.2771969,5.4982376,-81.00836
272.29507,275649645.08193433,6.2183022,-80.24247
841.06665,275649658.1838831,5.3901477,-79.91678
2973.2554,275649660.8403155,3.0441391,-79.73405
158.88794,275649691.1692808,4.3340816,-80.016624
422.18802,275649697.3466662,0.3166932,-79.08307
203.62129,275649715.062688,3.3225327,-80.265656
480.7488,275649724.85363626,10.826804,-80.57164
265.4801,275649737.91763973,4.89963,-80.9415
442.18314,275649738.21599567,3.3370423,-80.66774
402.36658,275649774.9893814,9.342892,-80.565125
166.98128,275655386.9486928,3.431779,-79.53838
195.29956,275655477.9063259,3.2254026,-79.54788
351.155,275655506.5179302,3.6433861,-79.9568
547.69977,275655539.04927737,8.325021,-80.100716
431.25668,275655611.7263063,5.1395564,-80.7722
200.52898,275655660.1612089,2.8274875,-79.57478
235.65482,275655665.18259454,4.9713564,-79.935905
605.1095,275655727.7888664,1.8223408,-79.13096
170.15948,275655732.800691,7.0705686,-80.4379
580.6041,275656026.27423614,5.6220694,-80.71371
1130.9387,275656389.38737637,6.953253,-79.87822
346.61035,275656393.21559656,11.57879,-80.48343
189.21416,275656432.63155425,6.3102403,-80.794106
613.40625,275656578.1981774,3.3535204,-80.61065
1035.0669,275656694.42707783,4.427743,-79.7508
260.14786,275656783.24110496,1.2967824,-79.250015
422.58466,275666691.1493355,0.7483619,-80.6171
525.6625,275666720.2675286,3.5968907,-80.90325
431.4512,275666845.12692326,4.42629,-80.29125
195.48265,275666933.2437514,4.859502,-80.60509
1600.425,275666964.1366106,0.6754778,-79.15875
534.4903,275666964.14343625,3.508833,-80.78457
718.36804,275666970.6281508,10.147787,-80.43916
653.6374,275666974.8492118,6.0000424,-79.991585
178.55405,275667084.28537065,3.8644114,-79.6796
218.76263,275667533.5438834,8.383262,-80.55079
443.33112,275667630.2807978,7.4337435,-79.99025
930.17816,275667916.30440295,7.8078465,-80.69246
163.03584,275667989.4102597,7.0461326,-80.8012
406.3168,275668018.4836175,7.8545475,-80.04647
309.79044,275678306.7452001,0.39435026,-79.71484
592.4308,275678363.38386047,4.8634343,-80.190475
104.80951,275678373.8295005,1.1897659,-80.04358
584.76184,275678383.7785037,6.568,-79.92633
590.5586,275678486.21864223,2.2428434,-79.24154
398.72214,275678690.86943024,0.99963,-80.48375
405.315,275678963.1188388,4.251313,-80.149055
287.82788,275679012.72978956,8.771499,-80.71742
104.32586,275679425.42387897,0.14685334,-80.71499
309.7834,275689712.0770017,1.5282643,-79.98563
170.56409,275689820.0228378,0.8720315,-80.156105
161.45912,275689825.09858876,4.1293135,-80.561
118.23492,275689829.1415315,1.1385524,-80.06441
264.21075,275689954.0857966,4.3933377,-80.23113
219.00203,275689986.50295514,3.8141558,-79.49399
160.04385,275690366.146651,1.0129681,-80.05119
295.1472,275690861.2441985,6.746674,-80.247314
511.98938,275690921.1920234,0.9694661,-79.465416
129.04053,275701168.11168605,6.7968926,-80.38967
409.16873,275701275.7252111,0.2411902,-81.17436
1076.302,275701283.11033785,9.494362,-80.71477
1130.5118,275701328.12935865,2.112715,-79.183716
236.94746,275701583.9522841,6.1744733,-80.90611
741.08636,275701675.9421387,0.56916064,-81.13389
325.2875,275701998.9102053,4.1283402,-79.8785
551.27875,275702499.83474463,9.257192,-80.48386
181.29932,275702551.4431888,2.225475,-79.26647
264.11316,275702927.09870887,8.345517,-80.14416
13517.73,275712670.81573707,0.93495876,-79.5241
273.75412,275712788.47313935,6.281598,-79.88106
134.14005,275712801.7072645,2.1399863,-80.23361
484.92,275712889.9541098,6.566318,-80.69373
226.71004,275713042.7185433,10.344898,-80.39594
198.18472,275713054.0975741,3.9831848,-80.66262
351.46564,275713988.21407527,2.5027587,-79.24629
2537.3892,275713988.73441416,2.0801756,-79.413666
419.64505,275724379.2703975,7.8104143,-80.40531
277.064,275724387.2516356,0.046241127,-80.09021
1790.1709,275724953.98262376,0.34640944,-79.29405
147.16792,275724961.9248766,2.8214133,-80.956924
571.09424,275724973.18704134,2.5011652,-80.08254
859.27045,275725000.1711422,7.913896,-80.72039
586.1173,275725250.39340407,0.02898854,-78.77383
101.21982,275631635.53448445,19.376621,-74.152855
261.93805,275631639.1215835,1.4765618,-73.67011
231.2792,275631641.37180525,1.5126299,-69.15487
192.83096,275631649.16802955,22.3233,-72.86958
121.79023,275631791.48202586,28.515224,-74.6375
153.759,275632013.23236585,23.500061,-74.44299
233.40933,275632111.1845703,2.961522,-77.21047
236.02328,275632251.01624167,12.048685,-75.19608
784.3878,275632374.32292694,1.5797578,-73.25633
286.13736,275632420.9333007,11.030253,-74.660545
362.54343,275632467.7065786,1.5986174,-75.72393
105.914955,275632468.3261737,1.349751,-77.123405
8180.206,275632471.83609056,6.076285,-77.24188
468.39246,275632472.3010259,12.8660755,-75.94539
232.89627,275632476.6072809,1.0544882,-68.52202
307.20963,275632487.23168266,1.0448711,-68.565315
2982.0325,275632497.2225484,7.2609982,-75.67399
286.5808,275632500.04922336,1.2693758,-76.10553
