ENERGY,TIME,RA,DEC
517.45264,488253437.3185179,319.08356,0.5373232
254.26242,488253446.14458674,322.927,6.6214724
891.3507,488253452.3731695,317.1048,0.28997952
420.74017,488253452.6020016,315.19733,0.00041071826
179.11406,488253454.91091686,319.29758,2.784141
144.5549,488253459.84281546,316.17664,1.082583
327.04645,488253460.7153009,318.9496,1.387428
234.68112,488253483.1592011,316.6973,0.38190052
274.7395,488253494.75168526,320.29184,0.91097677
1590.3837,488253517.9027846,319.69263,1.2202775
612.92645,488253518.3837807,319.29755,5.6161175
796.4721,488253523.95572734,322.31744,6.1581664
131.88431,488253542.9279448,322.56204,1.6370085
332.36475,488258986.60005546,318.63757,4.6552043
187.33806,488259043.76163816,317.1622,0.84497225
551.2984,488259053.14771444,320.8168,7.5486927
211.29176,488259060.14514804,318.57126,3.043071
207.96303,488259067.9629796,320.78064,0.05773115
152.02153,488259095.0956568,320.8655,3.6134074
238.3008,488259099.8687035,321.4172,8.165825
184.83408,488259111.4361706,319.9552,3.3130255
351.0379,488259129.1295749,319.37604,1.6833972
161.57858,488259179.2856238,316.42252,1.6356697
118.60486,488259181.4696341,321.2881,0.5964329
424.32843,488259206.06528246,321.62357,6.8720717
163.30968,488259215.7637113,323.03427,3.3764408
585.571,488259220.8023875,316.87228,2.4784272
172.16444,488259222.0062485,321.324,3.349312
153.23445,488259244.3438769,318.7051,1.0754294
595.4219,488259253.2504167,320.16183,0.76960003
280.2474,488259253.54789203,320.30673,3.979686
395.00595,488259286.4218035,321.77274,3.6041884
395.71585,488261512.93358064,322.93063,3.280471
762.294,488264817.72484237,322.93094,9.165984
369.32477,488264843.37854975,320.55994,2.6808023
602.9184,488264894.2272804,316.57474,0.47184277
129.4917,488264898.06665134,321.56027,2.6048713
527.7341,488264900.474731,317.1391,0.6640446
711.5196,488264912.71959215,321.0054,3.151414
257.88876,488264935.55223876,317.37036,1.2720497
614.28174,488264938.11574525,321.50082,0.8539176
815.06335,488264960.49527556,319.44095,6.0336475
953.6575,488264980.8858603,322.00296,2.0503862
290.0705,488265002.51065785,320.99207,6.137299
326.39508,488265002.65772134,321.5887,7.7200017
210.97043,488265022.96078223,320.58688,5.256699
757.42523,488267276.9125361,321.8895,2.9751859
261.8629,488270419.37449217,316.64505,1.5334833
113.65077,488270472.03848875,321.67358,2.7235146
144.62091,488270511.2405539,318.74863,2.818982
177.78407,488270540.2396349,318.77563,4.0294123
157.18106,488270553.83939564,316.68665,1.0786326
157.75519,488270576.0868104,318.63867,4.8359194
149.99808,488270577.77352357,323.2817,8.972932
619.9826,488270596.7494539,317.63824,3.063848
681.4959,488270688.69275707,319.92688,1.5890023
382.95297,488270726.52016354,321.78833,7.2261453
1523.5986,488270745.3597126,321.44067,7.8541903
416.90735,488276174.2270465,316.6949,0.9893536
210.99084,488276238.4925796,318.8022,0.0794939
167.134,488276290.6638802,316.42535,0.21001425
191.87263,488276299.57390803,317.18573,1.1143979
713.90967,488276316.8261666,317.8235,3.5204554
486.87723,488276325.2742089,317.62207,0.9054672
273.51572,488276332.42104995,316.92377,0.31236413
604.4925,488276332.5711482,320.96106,4.4351363
156.38448,488276333.0441582,319.2055,3.2390666
910.0143,488276376.7455307,319.7534,2.7485387
869.82776,488276432.6518434,322.4697,3.8586335
408.34064,488276438.9116357,322.97778,10.714708
217.0112,488276442.65853184,322.28714,8.716353
1656.3285,488276446.144425,321.65265,6.9924583
221.82976,488276497.64085114,323.42795,8.744215
241.48947,488278655.2036042,320.14163,6.8018627
384.09933,488281844.6195438,317.3862,0.7916301
887.11316,488281872.59507096,317.54935,0.9320411
150.26947,488281898.523236,315.4784,0.050347365
145.76013,488281946.82539624,318.80685,1.6544707
292.61084,488281980.165462,319.1079,3.513832
379.96072,488281982.26954347,315.55884,0.20767917
438.33566,488281995.68532526,318.11807,2.8572588
237.0554,488281995.72339535,322.67,6.402553
213.4003,488282001.12041974,320.16638,0.17032148
208.47931,488282017.9431438,321.51376,7.319369
236.53477,488282028.5576177,319.13992,1.4232343
338.75742,488282035.8732202,317.0823,2.127228
296.53955,488282079.9109129,322.43307,1.5859249
398.73355,488282088.0908087,323.3501,8.146703
1800.3247,488282092.2332853,320.17392,0.96613055
159.95203,488282101.8740255,320.79376,2.882685
2911.918,488282129.8134481,318.82007,3.5482094
377.5776,488282140.1958296,322.602,3.371727
205.02834,488282142.3139373,322.24396,8.095853
254.93062,488282156.94488513,320.8008,5.0695534
184.09132,488282162.9205385,322.57993,5.500202
732.99945,488282164.2649571,320.94318,8.195433
284.432,488287640.4752449,317.19977,2.5420952
114.1543,488287667.6681156,319.05795,5.0245895
1700.5891,488287679.31258416,320.38562,0.8931837
317.9636,488287680.26834655,319.94492,3.2630165
113.84431,488287682.607494,318.4259,1.0369962
220.0266,488287690.74235666,321.30283,3.4969788
173.03961,488287700.6758831,319.1222,3.2603416
199.7761,488287718.16931325,317.4646,1.0384895
194.53424,488287722.75828713,317.82697,0.87597346
345.1251,488287731.04384685,322.42453,3.6492567
165.9565,488287731.59081495,321.02283,3.0625963
187.04576,488287754.14950943,321.15747,1.5375023
288.9565,488287754.95869267,319.1889,4.3982205
421.29785,488287755.1061529,318.37036,4.068197
314.7122,488287759.64719063,317.5432,1.2170612
147.18436,488287773.9393413,316.8769,2.2383392
154.93297,488287777.41832316,318.47946,0.023861451
869.69415,488287782.3582008,320.15143,1.399622
828.0922,488287785.16629535,318.16693,3.6948042
183.26627,488287798.26996267,323.55994,6.1685643
171.63376,488287818.63034874,320.2851,7.1106515
1127.2755,488287819.3757399,322.02728,1.1338474
1122.4496,488287853.35032636,322.78143,4.549903
370.04514,488287896.80044,322.4469,7.6439857
335.5337,488287972.5561415,322.231,4.043006
519.95233,488288042.9112602,319.54446,2.88131
1099.6909,488289242.52739686,318.72095,4.632536
216.7913,488293310.08669084,317.99213,3.0918014
403.28677,488293312.1712576,322.21494,3.243436
443.57254,488293319.753199,320.11752,1.5179453
205.83113,488293322.51723623,317.92596,0.8706805
274.56107,488293325.01231915,316.61923,1.8760356
402.51874,488293339.15184754,317.0432,2.5981
129.66254,488293375.48286873,317.837,2.6589317
102.28002,488293388.7395139,317.93076,1.9194618
184.62776,488293393.9201241,323.11203,3.2432961
212.75694,488293399.5192363,315.25522,0.09827839
148.13025,488293413.7899929,320.3382,6.551268
105.48185,488293425.31649417,316.44763,0.99516106
216.11433,488293426.3725756,319.5232,3.5488055
170.83513,488293438.89710385,319.361,5.7531276
148.80882,488293449.0141941,320.82822,3.3028564
556.1074,488293453.37490594,316.8603,2.549617
2279.4697,488293471.37837964,318.68182,0.3435822
736.63214,488293480.23357177,318.83276,0.6696379
164.98651,488293482.0531242,319.89224,6.131089
488.44537,488293486.0089958,319.381,1.7456105
265.48682,488293486.5694899,323.0351,3.4916477
478.84616,488293489.6408501,322.40195,2.8619452
120.6201,488293491.1634393,318.09366,0.8753418
652.8498,488293500.8427722,320.74832,0.17271416
2668.2996,488293502.5104836,319.33905,0.23687929
