index,source_name,ra,dec,glon,glat,energy_flux,flux_uncertainty,significance,significance_peak,variability_index,frac_variability,spectrum_type,pl_index,pl_flux_density,class1,class2,assoc1,assoc2,flags
0,4FGL J0000.3-7355,0.0983,-73.922,307.70898,-42.729538,1.7352088e-12,2.6915164e-13,8.492646,-inf,12.834996,0.0,PowerLaw,2.2473958,4.2844265e-14,,,,,0
1,4FGL J0000.5+0743,0.1375,7.7273,101.65648,-53.029457,1.930614e-12,3.7501136e-13,5.6810966,-inf,25.568989,0.5617225,PowerLaw,2.3307655,9.7825224e-14,,,,,0
2,4FGL J0000.7+2530,0.1878,25.5153,108.77507,-35.959175,8.0505275e-13,2.4709336e-13,4.197268,-inf,13.149277,0.0,PowerLaw,1.8561517,2.1342814e-15,,,,,0
3,4FGL J0001.2+4741,0.3126,47.6859,114.2502,-14.338059,1.3691241e-12,3.2222467e-13,5.523873,4.797026,28.91559,0.66390496,PowerLaw,2.155106,1.1362743e-14,bcu,,B3 2358+474,,0
4,4FGL J0001.2-0747,0.3151,-7.7971,89.03272,-67.30501,7.807578e-12,5.147547e-13,24.49722,10.227452,51.74239,0.42913482,PowerLaw,2.0816336,1.6903673e-13,bll,,PMN J0001-0746,,0
5,4FGL J0001.4-0010,0.3717,-0.1699,96.89199,-60.49133,1.3123957e-12,3.102077e-13,5.2516475,-inf,9.374194,0.0,PowerLaw,2.1089518,1.4220716e-14,bll,,FBQS J0001-0011,,0
6,4FGL J0001.5+2113,0.3815,21.2183,107.64935,-40.167652,2.2819954e-11,6.370772e-13,46.425827,38.139824,1861.6034,1.0881721,LogParabola,2.670351,3.817936e-11,fsrq,,TXS 2358+209,,0
7,4FGL J0001.6+3503,0.4098,35.0573,111.53812,-26.71026,1.3372949e-12,3.6358674e-13,6.475026,-inf,11.198676,0.0,LogParabola,2.4492536,1.7218245e-13,,,,,0
8,4FGL J0001.6-4156,0.4165,-41.9425,334.22635,-72.02855,3.2608037e-12,4.2668202e-13,17.98248,-inf,25.609457,0.36892056,LogParabola,1.7810848,3.9823224e-14,bcu,,2MASS J00013275-4155252,,0
9,4FGL J0001.8-2153,0.4647,-21.8865,55.184696,-77.57254,8.967048e-13,2.4672828e-13,3.9360256,-inf,26.910145,0.93760574,PowerLaw,1.9064263,4.4687713e-15,bcu,,PKS 2359-221,,4096
10,4FGL J0002.1-6728,0.5378,-67.4746,310.08493,-48.963467,2.4419386e-12,3.2854025e-13,16.672523,-inf,10.370596,0.0,LogParabola,1.8179636,2.1449475e-14,bll,,SUMSS J000215-672653,,0
11,4FGL J0002.1+6721c,0.5419,67.3578,118.20349,4.939485,4.373159e-12,1.3175693e-12,6.3910027,-inf,7.720544,0.0,LogParabola,2.5188801,1.04206865e-13,unk,,1RXS J000209.4+672503,,41
12,4FGL J0002.3-0815,0.5937,-8.2652,89.04345,-67.84833,1.4066326e-12,3.5902217e-13,5.2694592,-inf,13.4271145,0.0,PowerLaw,2.1850238,1.4967823e-14,bcu,,WISEA J000236.06-081532.4,,0
13,4FGL J0002.4-5156,0.6131,-51.9355,319.99948,-63.539017,7.1682444e-13,1.9889006e-13,5.8108006,-inf,19.804802,0.17401539,LogParabola,1.8815914,5.2610665e-15,bcu,,WISE J000229.20-515227.4,,0
14,4FGL J0002.7+7220,0.6786,72.3479,119.208755,9.829275,3.3529627e-12,9.97572e-13,5.6691146,-inf,15.752295,0.0,PowerLaw,2.4014592,2.0852401e-14,spp,,SNR G119.5+10.2,,4
15,4FGL J0002.8+6217,0.7201,62.2905,117.32041,-0.051036116,1.877118e-11,1.297752e-12,35.793106,-inf,15.3805,0.04047229,PLSuperExpCutoff,2.4656274,1.39796e-12,PSR,,PSR J0002+6216,,0
16,4FGL J0003.1-5248,0.7817,-52.8071,318.9899,-62.788944,3.4324832e-12,4.123306e-13,19.605446,-inf,12.576806,0.045827325,LogParabola,1.7810209,2.3532872e-14,bcu,,RBS 0006,,0
17,4FGL J0003.1-1543,0.7996,-15.7322,75.9879,-74.02427,1.0124464e-12,2.534003e-13,4.727763,-inf,13.487527,0.0,PowerLaw,2.0897098,1.335214e-14,sey,,PKS 0000-160,,0
18,4FGL J0003.2+2207,0.8058,22.1302,108.438545,-39.380795,1.5765103e-12,3.4967003e-13,5.5522084,-inf,13.482685,0.0,PowerLaw,2.1385322,1.6078962e-14,bll,,2MASX J00032450+2204559,,2
19,4FGL J0003.3-0703,0.8297,-7.0655,91.09472,-66.914566,9.197285e-13,2.7111614e-13,4.7392464,-inf,7.4973464,0.0,PowerLaw,1.8098495,1.7009128e-15,bcu,,TXS 0000-073,,256
20,4FGL J0003.3+2511,0.8323,25.1912,109.38164,-36.411484,1.8061803e-12,3.62206e-13,8.633873,-inf,23.773937,0.49872512,LogParabola,2.336671,1.456116e-13,,,,,2
21,4FGL J0003.3-1928,0.8465,-19.4676,65.197784,-76.580986,3.0728527e-12,3.910689e-13,16.83623,9.002412,58.547855,0.6205151,LogParabola,2.291044,3.8857085e-13,bcu,,PKS 0000-197,,0
22,4FGL J0003.3-5905,0.8483,-59.0952,314.23904,-56.965885,1.6868018e-12,2.653696e-13,8.18711,-inf,11.475375,0.0,PowerLaw,2.3650298,8.945901e-14,bcu,,PMN J0003-5905,,4
23,4FGL J0003.5+0717,0.8796,7.295,102.59378,-53.673813,1.0183127e-12,2.5724103e-13,5.4730215,-inf,12.027017,0.0,LogParabola,2.1880455,2.3550843e-14,bcu,,GB6 J0003+0717,,0
24,4FGL J0003.6+3059,0.9045,30.9898,111.004486,-30.771994,1.9905137e-12,2.2517143e-13,14.015012,-inf,7.7403827,0.0,LogParabola,2.171559,1.1416744e-13,,,,,0
25,4FGL J0003.9-1149,0.9986,-11.8251,84.59542,-71.0751,2.4902864e-12,3.6327793e-13,13.404971,-inf,7.8673267,0.0,LogParabola,2.1607301,1.497786e-13,bll,,PMN J0004-1148,,0
26,4FGL J0004.0+5715,1.0017,57.2578,116.52632,-5.0228662,4.0491347e-12,7.7613203e-13,9.073502,-inf,13.592418,0.09956027,LogParabola,2.5090811,2.1366864e-13,,,,,0
27,4FGL J0004.0+0840,1.0073,8.6757,103.49598,-52.397846,1.1113063e-12,2.5319205e-13,6.878327,-inf,19.498081,0.45170566,LogParabola,2.0532787,1.9337764e-14,bll,,SDSS J000359.23+084138.1,,0
28,4FGL J0004.3+4614,1.0757,46.2427,114.48897,-15.854909,5.3413897e-12,5.913136e-13,11.245723,11.039646,148.10793,0.9457461,LogParabola,2.6151664,1.4941286e-12,fsrq,,MG4 J000421+4615,,0
29,4FGL J0004.4-4737,1.1091,-47.6233,323.986,-67.53783,5.2421158e-12,4.0963888e-13,23.338678,15.035206,189.31395,0.84219086,LogParabola,2.4049885,1.5070369e-12,fsrq,,PKS 0002-478,,0
30,4FGL J0004.4-4001,1.1184,-40.0251,336.9915,-73.84534,2.5010677e-12,3.1410104e-13,11.0005245,7.482001,38.813873,0.6450894,PowerLaw,2.2431264,7.453985e-14,,,,,4
31,4FGL J0005.5+6634,1.3952,66.5768,118.38856,4.110416,4.8800412e-12,1.3975564e-12,4.591828,-inf,6.9132595,0.0,LogParabola,2.6956036,3.0739135e-13,,,,,8
32,4FGL J0005.6+6746c,1.4155,67.7688,118.60844,5.282127,4.1863804e-12,1.3781156e-12,4.460117,-inf,9.13717,0.0,LogParabola,2.6329253,1.8118055e-13,,,,,56
33,4FGL J0005.9+3824,1.4986,38.401,113.23228,-23.613338,6.0424777e-12,5.297142e-13,16.086971,9.000971,55.450825,0.44942507,LogParabola,2.638379,2.3753154e-12,fsrq,,S4 0003+38,,0
34,4FGL J0006.3-1813,1.5776,-18.2295,71.15022,-76.319275,1.0584317e-12,2.8347873e-13,4.2877502,-inf,13.523576,0.0,PowerLaw,2.2776172,2.9437912e-14,,,,,0
35,4FGL J0006.3-0620,1.5992,-6.3493,93.64702,-66.62518,1.362915e-12,2.9366445e-13,5.414082,-inf,26.032305,0.49450755,PowerLaw,2.1678643,2.6904716e-14,bll,,PKS 0003-066,,0
36,4FGL J0006.4+0135,1.6094,1.5982,100.47745,-59.29749,1.206956e-12,2.7443556e-13,7.125673,-inf,6.389583,0.0,LogParabola,2.1267276,3.7639e-14,bll,,NVSS J000626+013611,,0
37,4FGL J0006.4-5621,1.6103,-56.3635,315.2886,-59.672195,1.6368974e-12,2.646236e-13,7.211533,-inf,22.026712,0.48748028,PowerLaw,2.3892572,1.1274801e-13,bll,,PKS 0003-56,,0
38,4FGL J0006.6+4618,1.6697,46.3046,114.92035,-15.869719,8.3210543e-13,2.097735e-13,6.020188,-inf,11.483079,0.15922323,LogParabola,2.0364294,4.113851e-15,,,,,2
39,4FGL J0007.0+7303,1.768,73.0512,119.66263,10.46168,4.3272858e-10,3.0444221e-12,401.70493,-inf,8.2321615,0.0,PLSuperExpCutoff,2.04609,1.08363474e-11,PSR,,PSR J0007+7303,,0
40,4FGL J0007.4-0322,1.8629,-3.3765,97.16127,-64.02511,7.0129704e-13,2.0417995e-13,5.4835176,-inf,12.3671665,0.0,LogParabola,1.8571069,2.7212077e-15,,,,,0
41,4FGL J0007.5-5247,1.8893,-52.7863,317.65308,-63.069733,1.1691719e-12,2.6944164e-13,5.705449,-inf,10.770041,0.0,LogParabola,2.5297203,2.0953741e-13,bcu,,PMN J0008-5243,,20
42,4FGL J0007.7+4008,1.9275,40.134,113.93701,-21.972776,4.4952176e-12,3.907842e-13,16.365044,7.2030935,32.145878,0.40840542,PowerLaw,2.1295846,9.434808e-14,bcu,,NVSS J000741+400830,,0
43,4FGL J0008.0+4711,2.0024,47.195,115.31625,-15.033559,1.8127387e-11,8.236078e-13,56.51904,-inf,8.622466,0.0,LogParabola,2.0390635,9.802645e-13,bll,,MG4 J000800+4712,,0
44,4FGL J0008.0-3937,2.0048,-39.632,335.9962,-74.58333,2.0951823e-12,3.906889e-13,5.9461904,-inf,19.712507,0.43575424,PowerLaw,2.677274,3.821957e-13,bcu,,PMN J0008-3945,,16
45,4FGL J0008.4+6926,2.1072,69.4409,119.14811,6.885729,5.187742e-12,9.372669e-13,8.511977,-inf,13.321477,0.1327597,PowerLaw,2.383222,5.0121586e-14,,,,,4
46,4FGL J0008.4-2339,2.111,-23.6514,50.26514,-79.690834,2.2597766e-12,3.4019106e-13,11.07414,-inf,13.541552,0.0,PowerLaw,1.8102539,1.0123089e-14,bll,,RBS 0016,,0
47,4FGL J0008.4+6837,2.1142,68.6216,119.01284,6.0775237,1.5295433e-11,1.3544802e-12,26.44023,25.641045,599.92053,1.2768945,LogParabola,2.4570093,7.3122747e-13,bcu,,TXS 0005+683,,0
48,4FGL J0008.4+1455,2.1246,14.9232,107.72407,-46.6767,4.264141e-12,5.0622934e-13,19.204882,12.013653,51.23293,0.58037937,LogParabola,2.0722113,1.7131228e-13,bcu,,NVSS J000825+145635,,0
49,4FGL J0008.9+2509,2.2358,25.1536,110.91511,-36.72459,1.967365e-12,4.1115798e-13,4.125723,-inf,20.425594,0.5158406,PowerLaw,2.8888364,1.8962542e-12,,,,,0
50,4FGL J0009.1-5012,2.2962,-50.2107,319.3951,-65.54536,2.6996628e-12,3.415234e-13,9.656308,-inf,27.351149,0.44660774,PowerLaw,2.484575,2.9777095e-13,,,,,258
51,4FGL J0009.1+0628,2.2973,6.4828,104.480736,-54.868298,5.889002e-12,4.4872195e-13,18.235521,-inf,15.371203,0.10027631,PowerLaw,2.2194188,2.8626605e-13,bll,,TXS 0006+061,,0
52,4FGL J0009.2+1745,2.3077,17.7544,108.90927,-43.96513,2.687315e-12,4.08615e-13,7.2631774,-inf,19.296682,0.19449152,PowerLaw,2.6146982,5.822895e-13,,,,,0
53,4FGL J0009.3+5030,2.3466,50.5115,116.12437,-11.803588,2.208839e-11,8.3426826e-13,64.89692,30.203932,234.30939,0.4184122,LogParabola,2.018631,1.2934737e-12,bll,,NVSS J000922+503028,,0
54,4FGL J0009.7-1418,2.4403,-14.3045,83.705765,-73.91203,2.7090843e-12,3.384479e-13,9.196324,-inf,14.395337,0.15491962,PowerLaw,2.4548826,4.3623913e-13,,,,,2
55,4FGL J0009.7-3217,2.4443,-32.2976,0.6727207,-79.58928,2.3576698e-12,3.0820824e-13,9.9780035,-inf,26.521513,0.47500834,PowerLaw,2.261954,8.8759864e-14,rdg,,IC 1531,,0
56,4FGL J0009.8-4317,2.4533,-43.2979,327.77505,-71.76617,2.6316202e-12,2.832608e-13,13.523349,-inf,17.160936,0.22463594,PowerLaw,2.124825,7.5305796e-14,bll,,SUMSS J000949-431654,,0
57,4FGL J0009.8+1340,2.4653,13.6712,107.75219,-47.971355,1.3172744e-12,3.3525995e-13,5.362248,-inf,17.651344,0.27680176,PowerLaw,2.1793685,1.581995e-14,bcu,,RX J0009.9+1341,,0
58,4FGL J0009.8-6358,2.4743,-63.9696,310.40747,-52.551537,1.6585112e-12,3.0463547e-13,5.3157153,-inf,14.886085,0.2574764,PowerLaw,2.9367661,1.4879398e-12,bcu,,PMN J0009-6357,,1
59,4FGL J0009.9+2810,2.4973,28.1777,111.931435,-33.807133,1.20406e-12,2.757482e-13,5.3527145,-inf,14.099163,0.0,PowerLaw,2.0627,9.053362e-15,,,,,0
60,4FGL J0010.1+1631,2.5346,16.5182,108.81277,-45.21832,8.014137e-13,2.4540913e-13,4.604163,-inf,13.962288,0.0,PowerLaw,1.8946562,1.9770886e-15,,,,,0
61,4FGL J0010.2-2431,2.5602,-24.5245,46.329575,-80.37431,9.880175e-13,2.5084638e-13,4.3206534,-inf,13.784596,0.0,PowerLaw,2.1763122,1.9825885e-14,,,,,0
62,4FGL J0010.6+2043,2.6502,20.7332,110.21874,-41.12827,2.1938066e-12,3.8090437e-13,6.997116,4.908192,41.120056,0.7932924,PowerLaw,2.3850918,1.1512941e-13,fsrq,,TXS 0007+205,,0
63,4FGL J0010.6-3025,2.6675,-30.4258,10.263708,-80.482315,5.963366e-12,4.3021823e-13,24.288837,14.71064,175.40004,0.72519034,LogParabola,2.4492016,2.8134602e-12,fsrq,,PKS 0008-307,,2
64,4FGL J0010.8-2154,2.7174,-21.9004,60.28118,-79.400505,1.4469172e-12,2.79172e-13,6.0495462,-inf,12.840211,0.0,PowerLaw,2.344206,8.3860165e-14,bcu,,PKS 0008-222,,0
