time,energy,grb_name,redshift,trigger_time,t90,fluence,peak_flux
243216300.79415956,0.38746082858111747,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216300.03338996,0.11602197912802044,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216292.0665266,0.170338529581833,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216292.00378558,0.11564315594781419,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216297.8186035,0.11270651987758609,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216293.110063,0.15698592352281227,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216292.1634088,0.17303033212706412,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216300.05631167,0.10777414456195467,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216293.86866528,1.8460454149395453,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216294.00055778,0.4778512956563004,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216291.3621294,0.10855737839890096,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216304.75894743,0.9894275143464881,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216292.1587737,0.13769308527783825,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216290.94251302,0.11965375932391858,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216295.1148256,0.23408359107253596,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216298.75243187,0.10101671751681846,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216294.5886386,0.134405571144904,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216302.58098873,1.055827357775658,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216319.0896678,0.2501956031283414,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216305.70702043,0.15226867603117522,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216291.9176193,1.2693955039196854,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216300.3306079,0.9865778624801012,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216307.93369427,1.6744220831328367,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216291.9125831,0.22683105629311384,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216293.70237708,0.19472784868944581,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216290.86404532,0.2532942315665368,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216295.23609865,0.1255414480490313,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216297.34267095,0.3071090960294542,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216292.88470733,0.20142320142036124,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216296.8571787,0.6164859081441156,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216291.59936816,0.3933738042667702,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216291.56961468,0.21128939335730032,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216296.32125676,0.16991750893189894,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216292.75337705,0.12275102085032581,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216292.604248,0.11537600493032102,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216291.52457118,0.17206379783374853,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216323.13810045,0.32726274416953655,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216294.89249825,0.16361053402272208,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216290.9726668,0.10603502775669565,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216298.70439863,0.1758165317939371,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216292.70530167,0.15073962774174576,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216291.42499113,0.10873698014007063,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216296.7826026,0.10860466020027602,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216300.93948326,0.10998552877762378,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216292.62888658,0.1551784339021918,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216319.70146555,0.10453714818686573,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216303.11265954,0.2970590581883075,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216296.33224016,1.3534160199384002,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216291.2276983,0.19288546643471993,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216291.20514256,0.1938769822903365,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216291.3146091,0.1448345814197332,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216299.88831747,0.667230540660569,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216292.9142356,0.25882180905535657,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216308.45105752,0.10780453158823709,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216304.51365682,10.829805768540147,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216298.67873824,0.6954125184813968,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216295.99801436,0.10566617606190774,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216310.78574133,0.3486589417603315,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216291.22682154,0.11731856910840602,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216292.7912387,0.28075464408219036,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216291.04468897,0.6769303583482236,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216297.77469742,0.14619542306205618,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216300.3175671,0.12400465284802907,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216290.74744686,0.49090096944153017,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216291.4027798,0.12626147119012998,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216293.32461405,0.37448243491996624,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216293.57241875,0.12937393356600807,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216307.11746624,0.21970643682927504,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216298.46781456,1.49978221668402,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216292.54401493,0.21678984175546492,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216300.63817108,0.1979219747437945,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216295.2913907,0.17159716711386702,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216299.92650288,0.1786765828532807,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216301.07768586,0.1237202486558514,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216310.89259818,0.139800113523444,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216293.13149646,0.11595269372404092,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216294.08631405,0.6267396386166955,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216292.65603337,0.14147873410198453,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216290.60407537,0.15909694300079025,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216291.63559398,0.20153672430206432,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216315.55609417,0.2473709052479087,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216293.81155112,0.115625114120058,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216292.36397982,0.149898790459134,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216301.51204133,0.389141818766436,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216298.4615443,0.537028446593386,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216294.29999003,0.13278664585242778,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216295.32679376,0.945778913258696,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216292.03128207,0.1269455641036028,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216291.54208606,0.1008576651768423,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216293.07105243,0.3206773222039287,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216315.51486287,0.16871022735740543,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216307.74523735,0.1111492515958807,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216293.63970032,0.11038334886120532,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216297.30706745,0.4410727903672661,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216293.94097558,0.7015580152389672,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216290.98611957,0.2060599575662365,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216291.58764243,0.10627319056897006,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216291.82606322,0.10485304265042282,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216291.14463314,0.2806410618321232,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216290.74268124,0.10384882628456132,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216296.4200095,1.906787773922735,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216297.4785437,0.4487624147531241,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216301.18306366,0.13194001007136025,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216293.05920795,0.1004889098881679,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216291.8119849,0.20128285198009255,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216295.19830063,2.5599776046544207,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216293.70045885,0.18459815120318845,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216300.12872598,3.3795489547804105,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216296.40299186,0.11737104160531014,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216295.33953714,1.5573597725597417,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216295.27825594,6.4718171697052504,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216291.6174504,0.5838067589761746,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216295.13315293,0.14427432622698086,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216298.5826649,2.2460429793585353,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216293.49718338,1.3234893355337742,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216294.38267374,0.1316453929333409,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216302.6225416,4.242459573394811,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216294.3583941,0.114277354831158,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216317.47267625,0.18000115321323282,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216297.3147223,0.3808394696239004,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216295.40077806,0.237073049981487,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216292.01302546,0.4920567210044632,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216292.80816224,0.12163411544248828,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216294.47128722,0.7953224118224564,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216299.2615405,0.11119100283001943,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216292.37517446,0.1295726517663963,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216293.93865958,0.14363773463961294,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216296.62202027,0.11820099918470772,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216324.85116917,0.20793910213797676,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216303.22326756,0.16713293534591397,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216291.2993257,0.1320715790909455,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216292.10068962,0.18668770952841104,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216295.1241489,0.16684310654526135,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216299.85671467,0.10469910400867172,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216294.44278365,0.6300796327595481,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216305.72233525,0.15350867169104399,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216295.04724324,0.399363571153216,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216291.7807694,0.1050119370659385,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216290.98838583,0.10973867817534695,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216292.58461225,0.18136631391065716,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216294.41763547,12.274870582221743,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216298.20475218,1.3066864073799724,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
