time,energy,grb_name,redshift,trigger_time,t90,fluence,peak_flux
273581820.6204055,0.19434176105390025,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581820.5376706,0.10391686539915722,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581821.02625483,0.1665826202262255,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581822.154834,6.4998998843191504,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581819.9902725,0.3677232341889508,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581822.0286083,0.1876742408516514,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581820.4905007,0.5163176548297146,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581820.4765635,0.11153404390096328,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581831.0483991,0.45839572413086205,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581820.44243395,3.5533818966967803,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581820.0072312,0.10069933352140699,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581822.55585545,0.13209321695845097,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581820.5960811,0.18150189313999213,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581821.4803088,0.23499435467754656,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581829.34195614,1.1268675017395917,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581821.09538877,0.23283645551021467,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581821.57371557,0.1413697611136385,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581824.22057587,1.1013984994866406,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581820.480178,0.32491434719865875,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581823.4395132,0.3325328899307122,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581821.24476534,0.1437192588471348,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581819.98343027,0.10854264961690913,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581822.7352965,0.7764536406207753,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581822.78812677,0.1571967149033221,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581821.3411353,0.13933437162346374,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581820.4426733,0.1624925584871622,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581820.3947068,0.12716526706354472,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581822.246977,0.14644378718457238,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581823.9940525,0.20692277566309245,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581819.70920384,0.9712708410402741,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581825.23164207,0.21608594369488665,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581819.7569076,0.264906336855122,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581820.68240446,1.8945077626021782,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
273581837.62658954,0.10202503179544992,GRB090902B,1.822,273581819.7,21.0,0.00012,2.1e-05
