time,energy,grb_name,redshift,trigger_time,t90,fluence,peak_flux
1665321440.0101397,0.6029321391979643,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321536.2176826,0.3778913410673895,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321475.0019248,0.6325413642049442,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321572.4399817,0.5437086336320401,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321419.189113,2.3384720871671045,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321615.1619327,1.3627218808888795,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321450.7552114,0.19683732884349922,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321440.657797,0.17652378091617862,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321490.4635851,0.49925895814340837,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321455.822444,0.13554511919399304,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321433.5486681,0.11290559399808056,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321421.9111,0.2933368110630551,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321479.2604587,0.19242935995166432,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321485.4674287,0.14343917740287213,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321431.7501006,0.12225541234678113,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321477.2060113,0.18652069433130306,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321428.5199893,0.21536642686657023,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321452.5958288,0.40617412243483453,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321433.9969738,0.3327008202123118,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321427.9940436,0.96016503971697,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321452.579277,0.12608585424731372,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321424.2524734,0.16392627407343688,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321480.9730158,0.12369238398214172,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321595.18239,0.18175282467036413,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321425.3882205,0.13359448964169787,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321429.989648,0.3813180754833582,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321602.1626437,0.11855181495990928,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321422.8615658,6.425348052695303,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321458.0441523,0.12058484969553987,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321450.886255,0.1323785080327196,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321423.7357545,0.8539780510856952,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321512.781645,0.16664733315205882,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321466.9249477,0.9527724962021283,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321445.9583528,0.13397506596814676,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321433.3459644,0.1747619795248869,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321447.1470141,0.2675976668453814,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321423.203745,1.8311918544958194,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321518.1510556,0.35201701440866096,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321449.2232976,0.20661325793003185,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321500.8858283,0.24257408267892722,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321625.3985229,0.12153562060638722,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321476.7693458,0.14295667240956214,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321475.3056672,0.25746827870273814,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321480.0042734,5.497257826260506,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321423.2342224,1.0257280698513005,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321455.9902864,0.11985195924024213,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321586.2098253,0.2891006975841102,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321419.3827655,0.4735681661017932,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321446.2454937,0.13373306391953285,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321441.4151614,1.064403277221268,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321477.07867,1.4667868350756195,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321585.9440336,7.000795243554805,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321448.4975495,0.14512165281251366,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321503.2186625,0.5785848370743634,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321552.675164,0.24452775287974637,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321469.760415,0.8566284274550287,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321445.7988229,0.12370179369228361,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321473.1539786,0.3853945754976687,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321464.3878403,0.24891076211472307,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321456.1978219,0.18599820780801093,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321431.7568033,0.11635815715724956,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321470.4478686,91.5840176327925,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321422.4915519,0.18630142712682435,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321448.2491775,0.7112819416722621,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321441.1807702,0.49863728236501625,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321430.9390953,0.7829330105377509,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321429.524069,0.179511986746932,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321441.862654,0.17256030767805508,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321439.2983096,0.16401589590489773,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321485.0652447,0.35509770137514907,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321425.0562537,0.1702146222124435,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321432.7978895,0.10143118469456086,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
1665321547.4039009,0.1675202193192478,GRB221009A,0.151,1665321419.0,600.0,0.0021,8.2e-06
