time,energy,grb_name,redshift,trigger_time,t90,fluence,peak_flux
263607285.92939642,0.20493441117969607,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.90267423,0.8363204322713051,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.91013166,0.31670833334913245,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.93647543,0.2114435922725999,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.92554948,0.150777404600785,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.90232262,0.12731804851899048,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.94402274,0.2648120085578604,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.92566216,0.6923498620438281,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.90279153,0.23131685687346393,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.90175793,0.15914747361058665,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.96116772,0.11519633414461482,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.90925986,0.13265351690808364,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.93639067,0.11502896416033155,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.92575505,0.10285523506166845,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.91291046,0.23514966767848577,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.91420645,0.14000690406433783,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.94478482,4.350849666259596,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.9387241,0.12431933217723823,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.9037044,0.10374097837743959,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.91691658,0.12904949387279385,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.93747762,0.14364300799913451,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.97287735,0.2832694473939233,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.90488783,0.25194340914868446,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.90023646,0.10816206578827244,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.91036227,0.15140229301608724,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.9664375,0.6840747730473284,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.90019554,2.135346810271886,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
