time,energy,grb_name,redshift,trigger_time,t90,fluence,peak_flux
296352009.47156745,0.17912214950495076,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.68109006,0.20687701749797896,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.0577689,0.1178750023833876,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.599661,0.14755619270286618,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352002.02568924,0.10539992716631597,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352001.65023804,0.2675339364833899,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352002.3210302,0.4477904272885722,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352004.6494523,0.5576382627517062,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352004.7678857,0.8089320241806393,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352003.665483,0.5275377580907655,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352012.48966306,0.15906185435774822,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352003.47119415,1.0665819040682754,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.2352035,1.437587319025613,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.1933538,0.11730153540171369,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.6250849,0.31750467961227424,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352002.8981956,0.15703582358691648,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352004.5945337,0.1085275377715651,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.7016831,0.1491893413579933,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.2943686,0.13620117296888615,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352004.8784005,0.14293032383442508,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352006.7653364,0.2515240257520512,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.5555383,0.1071847701314455,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352001.9272608,0.14968011141659537,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352003.4320363,0.6473612124492952,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.3179061,0.11044603389762116,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.51144093,0.126830572526324,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.28833747,0.4646402916324494,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352007.2783218,0.12010351967474078,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352001.49629086,0.1459171333514664,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.5576751,0.31335697252258177,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352003.68154216,0.7854732217986449,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.02641463,0.166396132796775,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352003.71226054,0.10272135645959664,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352018.34303695,0.10128412351888834,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.5936582,0.10581200936081459,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352001.80651563,0.19415233041346439,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.3230217,0.22254245301975192,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352002.5933465,0.17793765519347784,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352011.05384237,0.4446006558709636,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352004.90952915,0.5421471694245157,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352008.39892906,0.24546912666659076,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352001.1353836,0.12260109134048086,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352003.1966513,0.10453469941715093,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.44679046,0.6341105787594637,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.10450864,0.15562616775755989,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352004.00518405,0.15203034819670333,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.77874774,0.11582082213833703,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.0957008,0.9055953805107623,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352001.4204214,5.335029440042758,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352004.5009499,0.16331469470163926,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352008.6492067,0.18186681612979336,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352002.15413904,0.5317292247793662,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352004.1809331,0.2976034725744607,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352004.49321383,0.23638714546619097,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.59608746,0.1730921627244686,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.357629,2.131415264911847,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.87760556,0.18216159643488228,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352006.4088093,2.4774492287334287,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352002.2532208,0.1436711679327258,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352002.13061327,0.5119021634446709,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.06683964,0.6645844940035837,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.1396566,0.19090835792763655,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.3170738,1.5604771441495173,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.21120787,0.1576659262967301,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352001.1438276,0.5239020849422444,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.8794397,0.11188185949300265,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352008.1368323,0.13031970767118534,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.1827805,0.2901472113918559,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.6498006,0.9424666548213715,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.7518113,0.16839760351904856,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352009.60768634,0.3258355715497341,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.6414511,0.10660122165184022,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352003.36122924,1.8011481529965385,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352002.49918467,0.22206597501224667,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352004.0657247,1.3899872123051438,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352001.06694645,0.3669995258067791,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352002.58816576,0.18850922537234574,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352003.87535137,0.3715846249188026,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.7106037,0.2041852757572652,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.7799864,0.10363586631762547,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352002.9320216,0.33026137722880405,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352004.46213657,0.7386361149322102,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352003.14551526,0.10959405737172696,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352002.5249341,0.11619434949061036,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352001.25539875,2.67423860422118,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352005.53567845,0.12041551065594297,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.5654161,0.10777115110168096,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352001.39786476,0.3805380880975342,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352001.9520301,1.16760454080718,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352001.5675001,0.13813865820684698,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.447993,0.5302223768917828,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.66810757,0.10685516556724664,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.47661686,0.19602361202408294,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352001.75359356,0.25687079295887444,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352003.20400375,0.3396686797743176,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.2388877,0.1416143688163089,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352001.5112748,0.10423284065006816,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352005.9683551,1.6597415222005125,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352001.4322992,0.4618961620771998,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352001.06594837,1.5944522751202195,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352001.171146,0.31827976188700063,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352006.1115921,0.13890882711001984,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352003.06072664,0.12230473162257618,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352006.1554313,0.19864589317299516,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352005.07342875,0.11140556386283554,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.8228995,2.2856009528670778,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352001.0341318,0.16186683138273042,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.7321143,0.8181917598482559,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352001.2318853,0.27335475869121517,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352006.1650173,0.2622741288290475,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.2475269,0.12676228772719886,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.6141487,0.48770852269691245,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352005.33956003,0.25336089062177414,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.44488025,0.2745932706095697,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352001.3092769,0.2512585777842586,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352002.8116007,0.15668840517001656,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352001.810955,0.23905884343529188,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352001.1379814,0.32342776887736274,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352004.2144384,0.39738588347456427,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.7175096,0.18020406927725757,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352001.0547126,0.11384179565968625,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.87012416,0.10016054262937478,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352000.77038836,0.11454595006541507,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
296352004.4033311,0.16206599393345109,GRB120811C,2.671,296352000.0,26.0,0.00011,4.2e-05
