time,energy,grb_name,redshift,trigger_time,t90,fluence,peak_flux
302486407.2829955,0.3035839918778589,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486403.70562357,0.20595619051041913,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486413.20718104,0.12278659971203071,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.64613533,0.1568294996401629,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.91192895,0.15553453374174572,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486407.5164355,0.254182184769087,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486403.1217316,0.20611062631166188,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.16713595,0.10539058410740086,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486402.9424791,1.371239331289349,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.1668456,0.645990095617694,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.3584715,9.363153857355528,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.68877316,0.10016528160996503,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.08763355,0.12195598494502949,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.00890976,0.1959431526752135,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486404.61339635,0.11999476673618059,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.34766257,0.1076397329604769,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486402.58781385,0.1270974563879362,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.09032446,0.17437659901611108,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486405.2912777,0.3534938273224099,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486403.14346176,0.14699973475322747,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486402.8534694,0.9376402582058008,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486406.22826695,0.13348411902521184,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.67175,2.0115712138122808,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.34082067,0.12835088621299606,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.3938104,0.4206691748908174,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486403.2803313,0.14980282306635434,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486404.6069668,0.19699057212714877,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486413.2539891,0.5329159926550774,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486410.1971127,0.18005377466226094,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486405.97096103,0.4448598129201973,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.76471794,0.413115031393649,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.9638579,0.14966328462910908,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486404.2614471,1.8442186895675956,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.89834434,0.6850840659343752,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.5046916,6.567052012329334,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486404.6818684,0.32253655237140033,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486402.49339163,0.2368879910884478,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.9451017,0.1505658365207326,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.25926495,0.5008082648410186,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.78691554,0.24804520427645116,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486402.96853906,0.17040369624563306,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486405.2725702,0.2108853079827737,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.9465878,0.23813222544096538,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.98050267,0.291799584514522,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.65886176,0.15813272001651338,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.6381952,0.5114861894124747,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.79940253,0.16252963309568424,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486403.8902611,3.185194035921098,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.0276448,0.11773971802538435,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486404.67697304,0.10438673261519982,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486409.98492074,1.371441052543862,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.5484186,0.1530970089019109,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486402.71503603,0.1082756664079489,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486405.3592665,0.1329069017068791,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486402.0918137,0.11841028698875762,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486404.4930512,0.23635817504310716,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.4443002,5.5444734682962356,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.2404131,0.11464780198688383,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486408.57189363,0.1631081681610534,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.2116984,0.10977326071242455,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.3020964,0.5432872716126561,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486410.4307226,0.19244710662577014,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486404.3273963,0.13210695996617547,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486405.5736437,1.126535482238097,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.39382845,0.40636960538820444,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.53507805,0.1364592605111631,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486405.8776929,0.10386716039151918,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.804061,0.20729695340172438,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.07231146,0.2003708119543716,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.9832803,0.5002614743454876,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486410.1201049,0.47070390273332025,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.89948666,0.10679104386470423,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486405.66880715,46.621993702060855,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486404.813974,0.2175506487371215,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486410.4783932,0.12340924243528864,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486402.13554966,0.2520687442357231,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486402.44656926,0.1456209924862883,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.7178477,0.10472686463316755,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486403.95365846,0.2854599872989178,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.46981585,0.47661998113229737,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486402.4735212,1.3484876631381963,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486402.9274754,0.15022174298281077,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486403.60545874,0.11165891583300545,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.7072394,0.22163811818144158,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.0852604,0.5325701946322343,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486402.157682,0.22541955324858964,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.1434963,0.10217849982000911,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486407.1945866,0.1351553946466077,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486405.84825283,0.1446062046237431,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486408.53807205,0.12301335925551077,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.36160386,0.6853025276801561,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486404.913655,0.4013361857889346,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486404.9878848,0.1902260290848877,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.9121374,0.47820679550569833,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.1987349,0.11723360969067442,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.01353216,0.19384502275971957,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486407.3872504,0.1568402473844537,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486402.3021117,0.16313035864991848,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.03968215,0.2386863388229472,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486409.3830277,0.1535251441358978,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486409.4113763,0.20560623667669087,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.4022684,0.17349494261331846,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.14517057,0.1316513216322518,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.87152743,0.14281309657334026,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486402.6967249,0.11051700204952218,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.73940176,0.750548779472509,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486403.60692626,0.11874010829229749,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486402.09369826,0.10653096622907594,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.0965598,0.2919916864405924,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.422058,0.12239042339785214,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486402.8820685,0.10986429493154298,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486405.6032589,0.10387189324612014,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486403.46437836,0.32333139647940135,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486405.2388413,0.8311347672492329,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.98198986,0.5827732184371511,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.52755314,0.16521485576906342,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486402.0433467,0.13733481517584384,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.3960468,0.3278181766292457,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486402.16402,0.16332386017641035,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.30928093,0.12763934314671666,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486403.56939834,0.10552044723372625,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.50358987,0.2606839533544229,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.8359652,0.12059376078423137,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.77810293,0.10863231923303776,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486404.40057474,0.2352938359550331,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486407.9677489,0.105051204141003,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.6917637,0.16212418730463984,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486402.59805936,0.15796282102754833,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486406.90306014,0.11165986183672903,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.53881377,0.23020180886526448,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486403.2946586,1.1689258235750433,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.2354468,1.6728843682527552,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486406.11321294,1.5674389644027706,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486403.5103845,0.946087317815787,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.21190196,0.8282353188689617,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486405.31973857,0.5261851741405569,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.179546,0.5415775376112468,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486402.1849494,0.10189015677274825,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.87381345,0.2575470935193234,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.5484296,0.24553861569706978,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486405.0088121,0.11138132363773129,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486412.0838673,0.6251957644131494,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.4990236,0.30312881230652833,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486402.8669295,0.5700397721263428,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.03167886,0.18011470419899278,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486403.9610196,0.29790464965198626,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.12739587,0.15417365514700643,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486402.8734944,0.532611612197932,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.5165267,0.2579916220806011,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.220843,0.10444421596385832,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486402.03383404,0.22862522221567694,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.80350596,0.6045618404338323,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.69169587,2.8494756137543447,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486403.6318774,0.25598814142757265,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486402.56183696,0.11013916740897711,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486403.0669529,0.501471358912884,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.53393203,0.25950655383700577,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.2343426,0.42125543523783926,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486406.9959922,0.5124961928640844,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.0448946,0.17392368859152582,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.5318846,0.5271675034198104,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486408.19045985,0.660929505803998,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486402.9546875,0.11955357271242717,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486405.76686406,0.1897441549668498,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.96424097,0.25337141318870987,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486404.2462687,0.5448266650720563,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486401.8137481,0.9518227422752535,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.8610639,0.10540524036977612,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486402.95150995,0.5241704847644906,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486403.31656903,0.7441702330435325,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486402.2854015,0.13922337913275332,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486406.4761447,0.1608613125359872,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486407.32364565,0.1925306830657071,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486403.1622171,0.2280047435894709,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486400.19093883,1.24713888259567,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
302486403.72761756,0.44314344541708195,GRB131231A,0.644,302486400.0,32.0,0.00011,3.4e-05
