time,energy,grb_name,redshift,trigger_time,t90,fluence,peak_flux
318614404.14136004,0.5195572916008223,GRB210619B,1.937,318614400.0,47.0,0.00011,2.3e-05
318614427.3816083,0.279822662154471,GRB210619B,1.937,318614400.0,47.0,0.00011,2.3e-05
318614404.88058037,0.553950428393266,GRB210619B,1.937,318614400.0,47.0,0.00011,2.3e-05
318614408.5869062,0.507293077864201,GRB210619B,1.937,318614400.0,47.0,0.00011,2.3e-05
318614400.01007736,0.1843018605062252,GRB210619B,1.937,318614400.0,47.0,0.00011,2.3e-05
318614406.96673787,0.1138632466451945,GRB210619B,1.937,318614400.0,47.0,0.00011,2.3e-05
318614407.0689395,0.30256683224403497,GRB210619B,1.937,318614400.0,47.0,0.00011,2.3e-05
318614404.6039874,0.16320383255573434,GRB210619B,1.937,318614400.0,47.0,0.00011,2.3e-05
318614404.57950234,0.14314855996435094,GRB210619B,1.937,318614400.0,47.0,0.00011,2.3e-05
318614404.1994215,1.7973866219437984,GRB210619B,1.937,318614400.0,47.0,0.00011,2.3e-05
318614404.1114338,0.42055935059749977,GRB210619B,1.937,318614400.0,47.0,0.00011,2.3e-05
318614400.4508258,0.9163321738067195,GRB210619B,1.937,318614400.0,47.0,0.00011,2.3e-05
318614403.23671514,0.8976931301175191,GRB210619B,1.937,318614400.0,47.0,0.00011,2.3e-05
318614403.90797395,0.15065395511826302,GRB210619B,1.937,318614400.0,47.0,0.00011,2.3e-05
318614406.2031811,0.11921051889215586,GRB210619B,1.937,318614400.0,47.0,0.00011,2.3e-05
318614406.8235419,0.31514905306385715,GRB210619B,1.937,318614400.0,47.0,0.00011,2.3e-05
318614407.40148544,0.29117718711365187,GRB210619B,1.937,318614400.0,47.0,0.00011,2.3e-05
318614405.1087897,0.10280735072394115,GRB210619B,1.937,318614400.0,47.0,0.00011,2.3e-05
318614407.71024626,2.65557566963829,GRB210619B,1.937,318614400.0,47.0,0.00011,2.3e-05
318614400.81282425,0.12027843054784815,GRB210619B,1.937,318614400.0,47.0,0.00011,2.3e-05
318614415.54708964,0.22989495787622577,GRB210619B,1.937,318614400.0,47.0,0.00011,2.3e-05
318614400.50926346,0.1304139399630645,GRB210619B,1.937,318614400.0,47.0,0.00011,2.3e-05
318614404.6359738,0.10529107885018772,GRB210619B,1.937,318614400.0,47.0,0.00011,2.3e-05
