Source_Name,CLASS1,Signif_Avg,Energy_Flux100,Variability_Index
4FGL J0000.3-7355,,8.492646217346191,1.7352087648692116e-12,12.834996223449707
4FGL J0000.5+0743,,5.68109655380249,1.930614088735405e-12,25.568988800048828
4FGL J0000.7+2530,,4.197268009185791,8.050527475558789e-13,13.149276733398438
4FGL J0001.6+3503,,6.4750261306762695,1.3372948581835686e-12,11.198676109313965
4FGL J0003.3+2511,,8.633872985839844,1.806180313819461e-12,23.773937225341797
4FGL J0003.6+3059,,14.01501178741455,1.9905136566800152e-12,7.740382671356201
4FGL J0004.0+5715,,9.073501586914062,4.049134725431225e-12,13.59241771697998
4FGL J0004.4-4001,,11.000524520874023,2.5010677123099567e-12,38.813873291015625
4FGL J0005.5+6634,,4.591827869415283,4.880041249571976e-12,6.913259506225586
4FGL J0005.6+6746c,,4.460116863250732,4.186380408999213e-12,9.13716983795166
4FGL J0006.3-1813,,4.287750244140625,1.0584316626274792e-12,13.523575782775879
4FGL J0006.6+4618,,6.020187854766846,8.321054349030854e-13,11.483078956604004
4FGL J0007.4-0322,,5.483517646789551,7.012970391039042e-13,12.367166519165039
4FGL J0008.4+6926,,8.511977195739746,5.187742162932052e-12,13.321476936340332
4FGL J0008.9+2509,,4.125722885131836,1.9673650729357117e-12,20.425594329833984
4FGL J0009.1-5012,,9.6563081741333,2.6996627589676025e-12,27.35114860534668
4FGL J0009.2+1745,,7.263177394866943,2.6873149972655996e-12,19.296682357788086
4FGL J0009.7-1418,,9.196324348449707,2.709084259006067e-12,14.395337104797363
4FGL J0009.9+2810,,5.352714538574219,1.2040599637122562e-12,14.099163055419922
4FGL J0010.1+1631,,4.60416316986084,8.014136771740399e-13,13.962287902832031
4FGL J0010.2-2431,,4.320653438568115,9.880175020141047e-13,13.78459644317627
4FGL J0011.5+4822,,4.282699108123779,2.0543050767429794e-12,11.985382080078125
4FGL J0017.1-4605,,7.176291465759277,2.1632533004495302e-12,13.605587005615234
4FGL J0017.4+6506,,5.523945331573486,2.806557937440335e-12,18.290843963623047
4FGL J0018.8+5112,,5.247433662414551,2.235110534154483e-12,8.680909156799316
4FGL J0021.7+4533,,4.177220821380615,1.6349936812418142e-12,18.937519073486328
4FGL J0022.0-5921,,12.373977661132812,3.5437219565032096e-12,19.921083450317383
4FGL J0023.2+8412,,3.3848814964294434,1.0607122818973025e-12,13.461935043334961
4FGL J0023.6-4209,,4.416571617126465,9.613933997856816e-13,27.932064056396484
4FGL J0024.1+2402,,10.412665367126465,2.4678366988828415e-12,27.399126052856445
4FGL J0024.1+7909,,7.060116767883301,1.4691529243160417e-12,18.46171760559082
4FGL J0025.0-2320,,3.6459622383117676,8.775972028078616e-13,18.0306453704834
4FGL J0025.4-4838,,7.417088031768799,1.9005916632175435e-12,24.89645004272461
4FGL J0025.5-5936,,6.109302043914795,2.1188576067310283e-12,23.71012306213379
4FGL J0026.1-0732,,9.666232109069824,2.0823616268816902e-12,12.68910026550293
4FGL J0026.2+3926,,3.7584164142608643,1.4921100379566843e-12,13.51478385925293
