ENERGY,TIME,RA,DEC
100.0,273589275.20326805,179.55997,-0.37116307
100.0,273583244.5814797,179.92442,-0.08845427
27337.277,273591825.630609,180.05704,-0.21835421
100.0,273588047.9491599,180.59554,0.23033115
100.0,273590743.42476404,179.6345,-0.6113373
100.0,273588988.44862586,179.547,-0.4375099
134.4415,273590080.7849063,180.52243,0.27603015
105.67419,273587665.3659786,180.45515,-0.21448697
103.02532,273589634.32195044,180.42781,0.5719532
100.0,273589561.11212206,180.9327,-0.33286035
100.0,273589695.4395946,178.87027,-0.85759205
105.86669,273590916.26090896,179.61568,-0.46401757
100.0,273591473.6369844,180.33667,-0.7143863
102.343796,273591328.5183335,180.25746,-0.6083882
100.0,273591241.4316687,180.1477,0.2523251
100.0,273583364.595327,180.78671,-0.5599032
163.88385,273590709.7480473,180.13248,0.8278601
100.0,273591037.7916825,179.54552,0.5586522
22060.236,273584670.713443,178.92868,0.040948328
100.0,273588360.5534275,180.00008,-0.19326822
115.0313,273584279.239114,180.04832,0.5207989
113.33378,273589277.8548767,179.6638,-0.48415175
100.0,273590964.8791837,178.20247,-0.26569045
100.0,273591138.7868022,179.86377,-0.06533988
137.56985,273585112.2494182,179.43939,-0.64708126
100.0,273585618.59086114,180.16882,-0.26956883
21397.127,273592134.6853724,179.77402,0.14371617
100.0,273589879.127265,180.73067,0.049589906
100.0,273584425.41524744,179.73456,-0.44992658
