ENERGY,TIME,RA,DEC
100.0,273586861.59125787,179.87897,-0.41755384
107.903,273584454.91061956,180.5358,-0.26121777
119.164955,273591652.3092801,179.31818,-0.24154182
100.0,273588987.8272812,179.74698,0.6770736
100.0,273588779.1698458,180.40646,-0.2214025
100.0,273589405.8884816,179.20145,-0.24438825
100.0,273587552.642328,180.28809,-0.523844
100.0,273583997.0166561,179.88942,-0.5830891
100.0,273586700.1971012,180.10217,-0.16004334
109.45624,273591610.80747086,179.89124,-0.35481578
110.54228,273586111.7047483,180.12239,-0.3101749
100.0,273588339.6010302,181.00916,0.95089084
100.0,273590923.51040184,180.04988,-0.39799103
102.797646,273590058.6154747,180.30913,0.023301652
100.0,273589588.62646186,179.96745,-1.1942494
100.0,273592281.7869256,181.02473,-0.25609344
100.0,273586600.0596254,180.51656,0.14182913
100.0,273587571.1108798,180.50433,-1.0989676
100.0,273586377.46757466,179.67015,0.43298808
100.0,273586471.95697147,179.63406,0.5488348
20350.285,273588917.27888995,181.06029,-0.61439323
100.0,273585752.48066723,180.0362,-0.17443833
100.0,273588417.9066345,180.68277,-0.52538985
26210.965,273590644.4596071,179.685,1.0562828
100.0,273587937.78450584,179.78925,-0.02405602
18114.953,273588383.155111,179.31604,-0.3031543
