ENERGY,TIME,RA,DEC
100.0,273591581.10953486,179.52965,-0.5360123
100.0,273590742.2185268,180.53812,-0.67301774
100.0,273590529.596559,179.67596,0.0028141127
100.0,273592064.5219514,180.58083,-0.18702446
100.0,273591178.25839597,179.62598,0.4320244
100.0,273590255.43246835,180.7702,-0.9664637
100.0,273587821.0524313,179.86343,0.8554725
100.0,273590703.67172164,179.77106,-0.4849577
100.0,273586070.2191866,181.27055,-0.7546426
100.0,273587992.53959763,180.4356,-0.30405167
100.0,273586784.47622347,179.90569,0.14796896
100.0,273589144.7073608,179.1658,-0.10248628
100.0,273588115.04374796,179.28403,0.2270049
100.0,273592156.4072139,180.13313,0.20808676
102.46087,273586439.6284917,181.20631,0.11130592
101.46358,273589457.3325525,179.72942,-0.04543539
100.0,273591561.7977691,180.31885,0.013537898
100.0,273589982.7958649,180.67368,-0.16622026
100.0,273591555.7208733,180.22195,0.25542766
119.75625,273588020.34764934,179.93893,-0.006925071
100.0,273589762.37950397,179.27678,0.006384878
100.0,273592057.13654685,180.15042,0.38410214
108.011955,273590679.3881726,180.47461,-0.20971945
100.0,273588932.51214,180.06223,0.42913967
111.448074,273585075.6369719,179.80707,0.44131282
10596.982,273591076.59735405,180.3704,-0.011383371
100.0,273588486.2526177,180.11725,-0.29175812
100.0,273590886.1561663,180.05917,0.2625428
100.0,273588317.38115597,180.27415,-0.46939012
100.0,273587860.9955955,180.96509,-0.55303806
100.0,273588640.11509484,179.77838,0.17747201
9915.059,273590649.0329274,179.70164,-0.6490959
100.0,273592071.7740975,179.03143,0.46794146
100.0,273592240.03101707,179.69775,-1.1085538
118.23821,273586119.68410003,180.60733,-0.17844012
100.0,273582800.1298123,180.65715,1.0441451
100.0,273590505.7144233,179.64966,-0.58516467
100.0,273591544.176236,180.66237,0.6758859
107.71178,273589036.0551915,179.67241,-0.97551113
105.47048,273584982.7945545,179.39285,-0.18104427
107.96898,273587228.2816422,180.56895,-0.75328255
100.0,273589598.4057282,179.32121,-0.10634423
100.0,273583073.1499393,179.96352,0.2472092
100.0,273588844.72197175,180.39728,-0.32595623
100.0,273584964.0703186,180.62492,0.5505325
128.7769,273588116.10618615,179.87039,0.30679128
100.0,273587163.02757484,179.50877,0.95978063
100.0,273586497.9129481,179.36176,0.4889877
100.0,273587670.28983706,179.94281,0.111040354
100.0,273587571.87862426,180.69437,-0.13402355
100.0,273586531.71346354,179.74811,-0.2505617
100.0,273587415.4661052,178.97427,0.015624298
100.0,273590547.86730766,179.82175,0.1625482
12546.947,273586520.8457507,179.93886,-0.4778654
100.0,273586359.5624709,179.38976,0.32763675
112.3417,273586594.7145559,179.44167,-0.828563
100.0,273585377.6344859,180.16011,-0.5457959
100.0,273590564.9835951,180.18039,0.2804159
100.0,273591452.90094215,180.1023,-0.0059646703
100.0,273591494.9236628,179.56082,-0.21113347
100.0,273592115.7326006,179.49492,0.8763839
100.0,273591805.26306254,179.71771,-0.18287307
100.0,273590446.38379437,179.61319,-0.5540641
100.0,273587511.6756835,180.24112,-0.31751165
100.0,273588908.3944355,180.0324,0.6148802
122.513435,273584278.7252496,179.4337,-0.010099697
100.0,273585605.6915698,179.2298,-0.0062317722
100.0,273587571.018238,179.14847,-0.27015772
100.0,273586588.6454126,179.53676,0.59471405
100.0,273591949.71830666,179.92186,-0.1424463
100.0,273591966.5728547,179.33173,-0.281339
100.0,273587995.2486908,180.07077,0.35018358
100.0,273585612.70724034,180.41727,-0.06963576
