ENERGY,TIME,RA,DEC
12705.921,273591418.1220531,180.4771,0.53955615
100.0,273588843.32068664,179.75761,-0.0665637
100.0,273590915.16431993,179.50653,0.3088499
100.0,273589600.42486584,180.28984,-0.751212
100.0,273590606.0226101,179.47784,0.2516913
113.420105,273591077.8811685,180.0087,-0.24414691
100.0,273588931.71225435,180.4709,-0.29898944
100.0,273591378.55775917,179.12962,-0.7137242
100.0,273591301.1035535,180.0015,-0.8253741
100.0,273590127.72212344,180.6317,-0.36646536
100.0,273591808.61509234,180.13097,-0.19000278
100.0,273585234.6451605,180.18689,-0.049818765
100.0,273586701.24611104,178.9274,0.2860192
100.0,273586212.8297121,179.58447,-0.12240395
100.0,273588448.64843065,180.75436,0.4981995
130.53987,273586014.91384244,179.45042,0.11741968
100.0,273588146.58835995,180.04471,0.4873811
100.0,273586974.6506955,180.00066,-0.07571261
100.0,273588909.4137099,180.34897,0.25446737
100.0,273588642.86302245,180.18333,0.34665552
100.0,273586013.808639,179.93031,0.3411842
100.0,273583511.79728407,179.14482,0.23270862
100.0,273587130.4022587,180.42865,0.07248731
103.53421,273586027.5793701,179.72255,0.16695857
100.0,273587863.3783127,180.12871,0.33230072
111.318245,273591266.93750465,179.71378,0.15767714
100.0,273584493.50561094,180.50848,0.022149233
100.0,273588931.0845589,179.64769,0.19059834
100.0,273590575.04291534,180.67805,0.11293934
100.0,273588257.0305685,179.6234,-0.28388423
100.0,273592209.18542904,179.86046,-0.43093115
100.0,273591126.44809216,179.80017,0.66356796
100.0,273587238.3642781,180.08861,-0.101799324
100.0,273586911.23872024,180.86827,0.109793454
100.0,273585267.87742627,180.7901,-0.14440642
100.0,273589504.6689609,180.32855,-1.1241199
100.0,273591520.57266814,180.94925,-0.37101245
100.0,273588811.19000775,180.5646,0.90691215
100.0,273590642.8870208,179.48422,-0.029215218
100.0,273591107.44855636,180.18164,0.29493532
100.0,273587661.13777083,180.08978,-0.5702107
100.0,273589637.14418405,180.32454,-0.12890133
115.63904,273585607.0967698,179.896,-0.5231147
9375.022,273585881.97864795,180.38931,-0.15116394
100.0,273588112.52609533,179.88628,0.16093285
100.0,273588271.88250273,179.44032,-0.5613549
100.0,273590047.029842,180.0293,0.060693886
100.0,273587924.2594124,180.32472,-0.8904198
100.0,273588808.7771589,181.21088,-0.775326
100.0,273587406.66220343,180.03548,-0.03305489
100.0,273588661.02994716,180.2884,0.19309135
9603.943,273583352.7784437,180.03581,-0.29406676
100.0,273591398.3958741,178.90028,0.056616765
100.0,273588581.84916276,179.84795,-0.067600705
100.0,273589460.63465095,179.6667,0.3368759
114.424995,273588385.451664,179.49603,-0.03716846
100.0,273584891.3537345,180.48328,0.15100294
100.0,273585022.18367004,180.24069,0.29781762
100.0,273589485.5137113,179.93323,-0.009702142
100.0,273590256.1171182,179.83408,-0.06151803
100.0,273591439.9124232,180.74551,0.4803716
100.0,273591168.74688596,180.03581,0.16339545
100.0,273589608.04763085,180.52724,0.24187385
100.0,273583689.18097675,179.38603,-0.5832056
100.0,273585086.53335834,180.47957,0.19868214
100.0,273586083.39683926,180.1202,-0.63625026
100.0,273586160.7263693,179.88393,-0.46097165
124.17754,273587648.8702292,178.83263,0.15639317
