time,energy,grb_name,redshift,trigger_time,t90,fluence,peak_flux
273830400.7039281,0.5465365942511411,GRB090328,0.736,273830400.0,61.0,0.00011,1.8e-05
273830410.2584514,0.24916513185102096,GRB090328,0.736,273830400.0,61.0,0.00011,1.8e-05
273830404.3710932,1.9772369585500411,GRB090328,0.736,273830400.0,61.0,0.00011,1.8e-05
273830410.40166247,0.36934296657202903,GRB090328,0.736,273830400.0,61.0,0.00011,1.8e-05
273830405.91998273,0.10049826610126356,GRB090328,0.736,273830400.0,61.0,0.00011,1.8e-05
273830400.64561546,0.13177030639051457,GRB090328,0.736,273830400.0,61.0,0.00011,1.8e-05
273830400.6714327,0.22487736375943612,GRB090328,0.736,273830400.0,61.0,0.00011,1.8e-05
273830404.46605945,0.16496839141257202,GRB090328,0.736,273830400.0,61.0,0.00011,1.8e-05
273830405.91305447,0.12772382110543873,GRB090328,0.736,273830400.0,61.0,0.00011,1.8e-05
273830404.23315847,0.10914436366645608,GRB090328,0.736,273830400.0,61.0,0.00011,1.8e-05
273830416.1098294,0.11253406559333273,GRB090328,0.736,273830400.0,61.0,0.00011,1.8e-05
273830401.95996225,0.20124660332736344,GRB090328,0.736,273830400.0,61.0,0.00011,1.8e-05
273830400.6473431,0.1614824017228779,GRB090328,0.736,273830400.0,61.0,0.00011,1.8e-05
273830409.80930954,0.17264807860104667,GRB090328,0.736,273830400.0,61.0,0.00011,1.8e-05
273830407.3150381,0.11876053537345072,GRB090328,0.736,273830400.0,61.0,0.00011,1.8e-05
273830408.25885564,0.27165549344281487,GRB090328,0.736,273830400.0,61.0,0.00011,1.8e-05
273830404.6466113,0.9833286268750451,GRB090328,0.736,273830400.0,61.0,0.00011,1.8e-05
273830409.8687041,0.10826621722670636,GRB090328,0.736,273830400.0,61.0,0.00011,1.8e-05
273830412.99855584,0.2274340415854288,GRB090328,0.736,273830400.0,61.0,0.00011,1.8e-05
273830405.87878233,0.3774294114582215,GRB090328,0.736,273830400.0,61.0,0.00011,1.8e-05
273830407.7193407,2.6041737766485635,GRB090328,0.736,273830400.0,61.0,0.00011,1.8e-05
