time,energy,grb_name,redshift,trigger_time,t90,fluence,peak_flux
275760000.93530154,0.178098931691537,GRB090926A,2.1062,275760000.0,20.0,0.00014,7e-05
275760000.3292983,0.16303419116137577,GRB090926A,2.1062,275760000.0,20.0,0.00014,7e-05
275760000.2690916,0.45589905622813787,GRB090926A,2.1062,275760000.0,20.0,0.00014,7e-05
275760000.6210604,0.2121552248320279,GRB090926A,2.1062,275760000.0,20.0,0.00014,7e-05
275760000.0785883,4.241725040268762,GRB090926A,2.1062,275760000.0,20.0,0.00014,7e-05
275760000.0829522,0.14168223488142684,GRB090926A,2.1062,275760000.0,20.0,0.00014,7e-05
275760000.4105511,0.267537941308028,GRB090926A,2.1062,275760000.0,20.0,0.00014,7e-05
275760000.1366112,0.1952402498320119,GRB090926A,2.1062,275760000.0,20.0,0.00014,7e-05
275760000.87200695,0.10004640472978427,GRB090926A,2.1062,275760000.0,20.0,0.00014,7e-05
275760002.4749512,0.8976829427225659,GRB090926A,2.1062,275760000.0,20.0,0.00014,7e-05
275760000.6397723,0.9302005358867197,GRB090926A,2.1062,275760000.0,20.0,0.00014,7e-05
275760000.06879103,1.2761521248619816,GRB090926A,2.1062,275760000.0,20.0,0.00014,7e-05
275760000.7363138,0.20084821536305686,GRB090926A,2.1062,275760000.0,20.0,0.00014,7e-05
275760001.7183168,0.7182844858122199,GRB090926A,2.1062,275760000.0,20.0,0.00014,7e-05
275760000.6995657,0.6450027934756378,GRB090926A,2.1062,275760000.0,20.0,0.00014,7e-05
275760001.11517286,2.4666816253519444,GRB090926A,2.1062,275760000.0,20.0,0.00014,7e-05
275760010.0673257,0.6126831365876088,GRB090926A,2.1062,275760000.0,20.0,0.00014,7e-05
275760001.5002884,0.5351606944429577,GRB090926A,2.1062,275760000.0,20.0,0.00014,7e-05
275760003.4442221,1.3300645463048133,GRB090926A,2.1062,275760000.0,20.0,0.00014,7e-05
275760002.94355184,0.277310990284006,GRB090926A,2.1062,275760000.0,20.0,0.00014,7e-05
