GRB,Redshift,Photons,Correlation,Significance,P_value,RANSAC_slope,RANSAC_inliers,RANSAC_inlier_ratio,E_QG_GeV,E_QG_Planck,Significant
GRB080916C,4.35,3200,-0.0012939500728266244,0.07317405334197696,0.94155,0.046915095675948496,1835,0.5734375,7.086509809351766,5.808614597829317e-19,False
GRB090902B,1.822,1200,-0.012007904489301068,0.4156491977219213,0.6727,0.9125597845943149,620,0.5166666666666667,0.08049075776890878,6.597603095812195e-21,False
GRB090510,0.903,210,-0.025567612927778642,0.3688619403661318,0.7186,-0.0005095429805621501,121,0.5761904761904761,48.17787887670791,3.949006465303927e-18,False
GRB130427A,0.34,18000,-0.0072311609862092605,0.970133516217119,0.32475,2.8338493546577883,10117,0.5620555555555555,0.0022967245657832067,1.8825611194944317e-22,False
GRB221009A,0.151,20000,0.009621450321261152,1.3606734995736502,0.1804,1.549046842003657,12228,0.6114,0.0016028381849059457,1.3138017909065128e-22,False
GRB080319B,0.937,11000,-0.02474920289323122,2.596277574559125,0.0102,-0.28087214116329656,5203,0.473,0.09231292382377713,7.566633100309602e-21,False
GRB080810,3.35,2799,0.03019039165557123,1.5973974672694857,0.09545,0.1105585956287231,1414,0.5051804215791355,1.8829704759245938,1.5434184228890113e-19,False
GRB081203A,2.1,14000,-0.0009937654107543348,0.11757556802056478,0.90945,-1.6193645551099245,8169,0.5835,0.057429934295237836,4.707371663544085e-21,False
GRB090323,3.57,1700,0.005606877253476097,0.23104507641094169,0.81675,-1.840478578846817,926,0.5447058823529412,0.1266355407113915,1.0379962353392746e-20,False
GRB090328,0.736,1100,-0.029720730099034816,0.9852638295605871,0.27325,0.5722141728089397,547,0.49727272727272726,0.031898545802175625,2.6146349018176743e-21,False
GRB090424,0.544,1200,-0.010481932792153599,0.3628220219727467,0.71815,4.401701092353676,630,0.525,0.0027260110267663742,2.2344352678412903e-22,False
GRB090618,0.54,2599,-0.019002447981363198,0.9685542511707701,0.3055,1.3064495107675436,1523,0.5859946133128127,0.009093347964913286,7.453563905666628e-22,False
GRB090715B,3.0,1800,0.010602363617559044,0.4495954933231545,0.6512,-0.35471959980696527,924,0.5133333333333333,0.4832791069956695,3.961304155702209e-20,False
GRB090812,2.452,1100,-0.02177695028340482,0.721773998945869,0.4608,-0.9725133179126504,479,0.4354545454545454,0.12433621868640496,1.0191493334951226e-20,False
GRB090926A,2.1062,1399,0.049978062416621796,1.8703405448845842,0.05475,0.19141720532391449,728,0.5203716940671909,0.4882587247748941,4.0021206948761815e-20,False
GRB091003A,0.8969,1100,0.016829737426651687,0.5577505713526514,0.58,0.5611177960116872,576,0.5236363636363637,0.043314806422178574,3.550393969031031e-21,False
GRB091127,0.49,200,-0.07589254003769212,1.0709914341964621,0.25105,0.6221837840192841,92,0.46,0.0167635355788648,1.3740602933495738e-21,False
GRB091208B,1.0633,1100,-0.03509308520145665,1.1635640854115714,0.2195,-0.7948154603585282,532,0.48363636363636364,0.039432457674970674,3.232168661882842e-21,False
GRB100414A,1.368,1100,-0.024310308749301027,0.8057865512608057,0.38205,1.1055633411235903,503,0.4572727272727273,0.04185873752584239,3.431044059495278e-21,False
GRB100621A,0.542,1100,0.06610584850467963,2.1952908301229916,0.03305,-0.5914774475688772,587,0.5336363636363637,0.020185868055257288,1.654579348791581e-21,False
GRB100728A,1.567,1100,0.0006677072109718042,0.022125206528961647,0.98345,26.723491854442496,527,0.47909090909090907,0.002150322603214586,1.762559510831628e-22,False
GRB110731A,2.83,1100,0.0035149934601423484,0.11647383475073587,0.91055,1.0536098741657056,625,0.5681818181818182,0.14696277281383566,1.2046128919166857e-20,False
