time,energy,observatory,grb_name,redshift,trigger_time,t90
1665321446.9255438,0.10340848862894823,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321429.0814235,0.4051622265230761,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321469.5085907,0.16068881127534776,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321494.2930162,0.10911722915402472,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321487.3939219,0.1769981437650921,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321430.6313128,2.7858561281651446,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321478.037153,0.17869041283704698,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321436.6247063,0.10212917572430927,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321511.7596612,0.3031554573099385,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321476.1925457,0.10325545155030012,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321447.8935032,0.13510234197909546,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321439.5809107,0.15221936609535858,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321432.5650268,0.16661550660701466,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321419.8362389,0.4920719017250769,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321427.0061543,0.4432467146688341,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321423.8468466,0.5696689897725438,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321503.8168974,0.18009339627493637,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321528.2836225,0.13620808172895446,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321679.4013746,0.3131651128463562,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321434.1170323,0.6494438262170927,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321513.7997446,0.41463527179102116,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321468.7031224,0.3587311035549072,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321491.5312853,0.12004774733792221,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321447.880385,0.635740483195345,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321445.967107,0.30324870469417037,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321422.7472377,1.1431997285727915,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321426.5722716,0.13482127981451564,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321437.3182454,4.304987606553536,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321423.7102861,0.1091741498017733,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321437.8320003,2.7358801280652023,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321447.8594182,0.20453974242035616,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321786.0309203,0.21060670170598345,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321520.851525,0.10770428311416924,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321446.018037,0.13272669025358366,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321584.7485454,0.13983308392413593,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321432.9828992,0.26813028667419925,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321440.7306743,0.24096582858479235,AGILE,GRB080916C,0.151,1665321419.0,600.0
1665321483.4554415,0.5761375274738855,AGILE,GRB080916C,0.151,1665321419.0,600.0
