time,energy,observatory,grb_name,redshift,trigger_time,t90
1665321435.9312365,0.024906136911202782,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321454.6114411,0.024943104717962558,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321514.4511757,0.0154766982436162,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321475.210786,0.02241193131064809,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321463.833455,0.042828048583915916,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321472.1464195,0.028563296235272997,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321434.8148718,0.06110250217309716,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321450.796352,0.017539804645573857,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321471.26572,0.06420639292021807,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321437.3833752,0.018541803696454265,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321431.9987035,0.02094914166623336,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321526.8742127,0.028019333832742938,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321470.5110905,0.021081894683375173,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321441.0331414,0.05426747487775358,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321425.9794252,0.07088101192344604,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321423.8572507,0.01923447635476511,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321449.124951,0.13288932685606059,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321439.1773052,0.023875812098735832,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321601.9809453,0.01938749558440215,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321447.0856905,0.038370954021904685,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321549.5492034,0.01705550381124282,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321478.017902,0.04045061123759156,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321538.5274978,0.01845116675905016,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321419.6204338,0.01862090707286811,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321461.0313911,0.0355519874244305,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321584.9845545,0.01605697406869937,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321455.6953967,0.05506723180949465,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321513.2031176,0.03543283936108171,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321436.9076412,0.05947736589376698,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321490.908478,0.03570593193435445,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321482.4359775,0.017298790213731114,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321631.136685,0.03821761662306092,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321419.004054,0.05246062659276632,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321430.787724,0.019711191396265662,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321463.2733362,0.03308395144778135,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321481.6942325,0.02301830440800713,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321455.608236,0.016998792528328654,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321454.667852,0.1492812203524066,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321434.5959785,0.02174530232009375,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321789.3199723,0.028511924830472157,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321420.6390433,0.08722959356181849,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321447.2092464,0.120112843915311,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321453.4863725,0.041270304521665004,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321479.5373998,0.020113958914934945,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321576.5484068,0.052894942066203106,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321458.9136536,0.07771566059341706,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321448.6008723,0.02719196524893174,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321502.4658222,0.02002615283011641,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321535.76284,0.08908637668098328,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321435.7035027,0.023790983286173236,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321519.9308238,0.015680238553751544,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321473.6702034,0.01748854460553424,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321559.7890985,0.01603026160802279,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321504.416629,0.056610694806138964,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321423.7140265,0.05951964652227441,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321452.7070546,0.017179334999245705,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321424.529919,0.015516912230565732,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321465.023155,0.030545856923087436,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321511.9536512,0.05122398535710812,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321543.6079257,0.018644599882340806,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321459.9933498,0.09743416292921876,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321574.0915744,0.06910826799842705,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321576.093131,0.04037090149755895,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321453.1301723,0.01927099565338459,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321501.7460108,0.09002097678391202,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321419.5066373,0.03984296577889127,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321478.2646968,0.09258844689151491,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321448.2590446,0.06886390478471179,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321420.6826777,0.05435720777930136,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321455.152187,0.04542813403173198,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321596.9549725,0.04919918674709042,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321461.009494,0.0634065915213953,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321450.0653808,0.11916169657138734,BATSE,GRB090510,0.151,1665321419.0,600.0
1665321421.9174414,0.01761100360530893,BATSE,GRB090510,0.151,1665321419.0,600.0
