time,energy,observatory,grb_name,redshift,trigger_time,t90
1665321546.2500854,0.018571059284182612,BeppoSAX,GRB130427A,0.151,1665321419.0,600.0
1665321474.3906417,0.13221431500858613,BeppoSAX,GRB130427A,0.151,1665321419.0,600.0
1665321419.6963756,0.044837786287968764,BeppoSAX,GRB130427A,0.151,1665321419.0,600.0
1665321513.1625533,0.016761937736444448,BeppoSAX,GRB130427A,0.151,1665321419.0,600.0
1665321472.3448095,0.02592781837037923,BeppoSAX,GRB130427A,0.151,1665321419.0,600.0
1665321459.3911023,0.026627641510628304,BeppoSAX,GRB130427A,0.151,1665321419.0,600.0
1665321474.6704779,0.03939322160614851,BeppoSAX,GRB130427A,0.151,1665321419.0,600.0
1665321430.2868314,0.01592826528169914,BeppoSAX,GRB130427A,0.151,1665321419.0,600.0
1665321431.8323164,0.019148157680560145,BeppoSAX,GRB130427A,0.151,1665321419.0,600.0
1665321570.9241521,0.01665808509182308,BeppoSAX,GRB130427A,0.151,1665321419.0,600.0
1665321542.9160457,0.054099348764405954,BeppoSAX,GRB130427A,0.151,1665321419.0,600.0
1665321427.5246608,0.032932236642003246,BeppoSAX,GRB130427A,0.151,1665321419.0,600.0
1665321424.1628168,0.01990649805132215,BeppoSAX,GRB130427A,0.151,1665321419.0,600.0
1665321496.033113,0.02239878724021019,BeppoSAX,GRB130427A,0.151,1665321419.0,600.0
1665321508.9993303,0.03575903615542521,BeppoSAX,GRB130427A,0.151,1665321419.0,600.0
1665321453.9997659,0.018759584979259118,BeppoSAX,GRB130427A,0.151,1665321419.0,600.0
1665321459.8808506,0.13661153392509062,BeppoSAX,GRB130427A,0.151,1665321419.0,600.0
1665321503.6470551,0.0416062554649315,BeppoSAX,GRB130427A,0.151,1665321419.0,600.0
1665321460.1418128,0.021664133415779763,BeppoSAX,GRB130427A,0.151,1665321419.0,600.0
1665321583.425098,0.020146132083955826,BeppoSAX,GRB130427A,0.151,1665321419.0,600.0
1665321432.910426,0.03709953938789196,BeppoSAX,GRB130427A,0.151,1665321419.0,600.0
1665321423.1444314,0.033942995448972856,BeppoSAX,GRB130427A,0.151,1665321419.0,600.0
1665321535.1466782,0.018158858923069128,BeppoSAX,GRB130427A,0.151,1665321419.0,600.0
1665321549.7405536,0.04341161826385453,BeppoSAX,GRB130427A,0.151,1665321419.0,600.0
