time,energy,observatory,grb_name,redshift,trigger_time,t90
273581820.2172255,0.1941346719478336,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.6231623,0.3493784421750368,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.57617724,0.4455020521602336,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581824.4796203,0.41809600034523897,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.6230244,0.48123000554612844,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581819.9618666,0.5232454144509447,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.38561517,0.1686113659718398,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581821.0254891,0.15095703969171537,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581822.28983164,0.2500556773032034,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581819.7361624,3.692091857434096,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581823.8656625,0.6199032255854271,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.0029298,0.1975580576184748,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581821.1437907,0.24011194197202626,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581822.5202029,0.5013916516546668,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581819.75053155,0.11209698661831831,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581827.7453023,7.832234730845432,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581821.7056197,0.5933777448977512,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581822.6072013,0.35865968057764824,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.2447649,0.1299990621104442,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.7986141,0.5743087789878591,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581821.3419288,0.1326900419610931,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.7698103,0.12448744460534654,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581829.384857,1.4986584926444708,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.1100362,0.5085501001636471,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581821.73454314,0.11330088467276028,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581824.2922161,0.4110689417698934,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581822.7746954,0.9888958648901753,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.77620137,0.11711688822115528,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581819.78125626,0.3757704505478998,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.4091904,0.1701460375290681,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581831.2477307,0.5799854245227832,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.6539736,1.6444731264255816,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.285312,0.33736635453745556,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581819.9990428,0.31830837348242635,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.8097206,0.30253305509660217,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581825.0681402,0.24662895252080608,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.1234405,0.2781672626771938,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.73568934,0.11468624699862073,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.39983207,0.7838665391725345,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.90493745,0.42642369236259303,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581824.2255513,0.11988643413652006,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581821.5148674,0.42334242997031374,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581821.3904546,0.15260288644160525,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581819.8630555,0.2896727361273054,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581823.8601571,0.19423902043119956,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581821.29778725,0.13071032848924777,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.48268765,0.10278572320565822,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581819.82934916,0.22650385550906094,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.53879285,0.15997395893126093,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581819.81910104,0.2896509135884911,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.85305595,0.2114312111636858,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581826.0724488,0.184926468115981,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581822.40540904,0.13280984387271652,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581829.6227536,0.10094466169543577,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581821.523047,0.12647491579808454,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.20200783,0.3372247056521392,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.5207877,0.1605893792093625,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.2155766,0.1676875252019473,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.011023,0.15185292956060104,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581821.3345181,0.2061716731797655,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.8941142,0.2940551380157138,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581819.78670704,0.11289114572067654,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581822.2073671,0.13776768098804226,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581825.9657609,0.5826606448184671,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581819.99135035,0.10955536032925953,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581824.32977146,0.499344529288332,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.91663146,0.1772201376272335,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.4421891,1.30600848922146,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.1740055,0.43938612201534827,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581821.15635735,0.10418363164956711,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581822.12402767,0.12815027547989347,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581821.5280161,0.34764548261898365,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581821.6987816,0.4396057631958772,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581821.54528916,0.13616486426237034,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581822.5934688,0.12988866340826907,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581819.76436585,0.11504914513861741,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.7502407,0.1239851423406591,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581821.512077,0.7613337598598734,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.2332268,1.2570925746152621,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581823.022803,0.6331518351861992,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.88010895,0.12474845159060155,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581820.9450517,0.15261302698576493,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
273581819.91812384,0.17253215827680624,Fermi_LAT,GRB090902B,1.822,273581819.7,21.0
