time,energy,observatory,grb_name,redshift,trigger_time,t90
1665321441.725215,0.10246206534197824,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321436.3804302,0.6804891143904447,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321482.1975543,0.2759312259433132,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321434.1623826,0.1285423792194977,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321432.4225993,0.2113249606703469,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321498.202968,0.24370132538051578,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321466.8791673,0.388054570659147,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321562.2335958,0.24118385589155325,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321539.3703096,0.15425214780640265,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321548.908743,0.32848711135008657,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321532.642068,0.16540920555931937,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321468.5292692,0.10263816091860511,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321449.681702,0.11327331377011096,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321432.71151,0.20593795363788195,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321481.1195674,0.12005428932425453,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321450.4897335,3.6330798438011827,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321573.5973804,0.35274689743201976,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321721.6174,0.11564658432529562,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321567.5587275,0.11563749252397165,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321508.6205459,0.28849190952835013,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321513.9670167,0.8960049429269618,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321468.3346572,0.6387196295426286,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321428.2770622,0.2297999923433336,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321452.0661974,0.7242803201823821,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321650.6055286,0.11502929811244067,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321458.450992,0.28397472272502977,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321433.5098484,0.12214985883108631,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321429.0960464,0.1432663243980433,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321436.3957314,0.6555961853044048,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321432.9575906,0.12480064196606551,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321466.5497534,0.1233484768453072,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321466.420761,0.10831427309281039,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321456.4862278,0.10108307379582067,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321657.71646,0.13398514366816072,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321477.0918436,0.22123445800288977,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321439.4517016,0.24619458429001484,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321530.171845,0.10389615139051,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321665.8380733,0.10962961587925171,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321420.4019113,0.19591146004299406,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321514.337936,0.6321916125625071,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321436.4144382,0.5027907669414541,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321506.656965,20.980844264331616,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321464.4357033,0.2728206857229846,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321577.6918888,10.434111635904992,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321447.53589,0.7901392595026525,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321509.9762027,0.9277223407700114,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321492.7377143,0.13148750989996125,HESS,GRB221009A,0.151,1665321419.0,600.0
1665321524.2574534,0.1063466429871563,HESS,GRB221009A,0.151,1665321419.0,600.0
