time,energy,observatory,grb_name,redshift,trigger_time,t90
273581821.1829972,0.024139041624617025,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.07179093,0.030251463557497964,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581822.111546,0.015500220986927589,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.8882872,0.05778812029432713,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.2437158,0.021084587475234208,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581828.21445835,0.01781553461172166,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581822.8387511,0.017700275034537125,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.0011772,0.03178218486285698,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581821.23298913,0.020706078994213197,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581821.66525847,0.04058228245253225,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581821.98633647,0.028583219817017173,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581825.275581,0.034113604375446624,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581821.93075854,0.01595809935112538,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581822.78100693,0.034136628049395976,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581824.96100926,0.019985811185113576,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581825.8811559,0.01688917652253553,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581819.80663925,0.02209525777281669,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581822.01850563,0.017889800699313733,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581826.69693387,0.022301031242737072,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.0360569,0.01662015035466883,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581823.8079569,0.03898122701142226,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581829.9864618,0.02024859688048417,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581821.53597504,0.1322389920596494,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581819.8145684,0.029558397983289592,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581819.7127812,0.04557103493211346,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581821.6971687,0.05041766065452219,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581823.30550706,0.04511138707147375,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.17531264,0.11400839333292159,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.8910692,0.03594436937990725,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581822.66241634,0.03616210298744534,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581819.81084937,0.026294846357873457,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.99990964,0.020982357586416304,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.2369765,0.06823641171341797,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581821.56836605,0.020755390715281107,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581822.8505857,0.017669985068832116,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581819.7719618,0.026887317107880764,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581821.8591724,0.041340796280592014,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.20893735,0.02008981561525541,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.79567736,0.028816517888867663,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581821.49618423,0.016879706171051983,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581823.04358286,0.01738692232341882,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.08142245,0.018703358603912056,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.1291537,0.02553268867194986,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581824.6729037,0.01682689727357085,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.3281828,0.1017568286463403,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581819.9480345,0.03831302424695723,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.6653416,0.018725583159089468,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581822.18758905,0.042693353846471625,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.3558719,0.022954072035729762,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581821.54344165,0.03684796232291398,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581824.4947298,0.04102723079817371,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581819.76122093,0.11306921516416232,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581826.77043253,0.02007882384440437,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581819.7648421,0.051086883718416555,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.17194885,0.018221154106034556,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.56084144,0.040264966841188445,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581819.71394277,0.022902878915343303,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.4372285,0.05870839305327302,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581822.9136649,0.015311265693393335,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581821.27452767,0.11216078420579571,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581819.7622039,0.016459791114062976,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.87516963,0.017968278297050267,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581823.8079657,0.03277553023047063,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581819.8833751,0.022131639526560422,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581823.82525074,0.06401503430467682,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581821.8276155,0.024276447782844483,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.134885,0.019464411129038482,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581823.95375586,0.08648046909573383,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.2620326,0.02432553223570647,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581821.94635105,0.03617007299014705,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581823.3846783,0.026176783467372785,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581821.1046059,0.022184557272131502,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581822.90011257,0.01768851506219644,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581821.6888307,0.019497109653444446,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581821.3247003,0.021786558251618855,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581819.715394,0.07826652344068624,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581819.89073676,0.017031042483993168,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.14751446,0.015290997133813053,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581819.78765994,0.016908634928222945,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.3138471,0.05555099878175585,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.5073336,0.016929781707449954,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581823.651599,0.04615871050967463,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581826.6287509,0.015327259494398329,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581821.2358967,0.04251321967869267,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.94248176,0.03878837482361665,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.24544495,0.018573779474147813,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581824.51899606,0.04893405892399207,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581824.0762683,0.12837142155834622,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581821.272886,0.015642417258781228,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581825.0162833,0.015192444520784764,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.29976356,0.033140323526959385,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.5507763,0.01815901678228823,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581821.657251,0.028035773680966016,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581823.01260257,0.021222729864196575,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.4248778,0.026765433087870796,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581823.7946815,0.015699612456373625,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581819.9974034,0.056043439406778965,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581825.9070102,0.03069988970752073,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581821.73498756,0.015968346909490318,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581821.9719002,0.0523179819723595,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
273581820.69736004,0.027290727526235826,Konus_Wind,GRB090902B,1.822,273581819.7,21.0
