time,energy,observatory,grb_name,redshift,trigger_time,t90
1665321455.6611748,0.3889763043085699,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321434.9110692,0.26622223896353114,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321420.9264498,0.9456448092858504,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321485.0878458,0.17907379090175657,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321425.7127445,0.14961161538826312,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321502.8957574,0.5054200754739246,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321482.1533668,0.15780201885530698,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321450.274455,0.10510067311702503,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321422.202263,0.641134237405941,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321423.601949,0.27012680476406936,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321462.712932,0.15351486216862537,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321450.3154416,0.10339998543934442,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321486.8825681,0.25876610380214526,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321470.6605923,1.8475029878490572,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321457.0436587,0.29622163082025577,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321485.173845,0.6179566765136449,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321429.4598303,0.2761920503392825,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321424.2995303,0.2750963027099687,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321425.310992,0.27522077215146473,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321476.1949887,0.11956019269743015,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321454.1862602,1.4958111291375167,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321457.0073793,0.33786116405691957,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321517.8048615,0.12144593426496533,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321581.2867224,0.13256881385526115,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321473.5813212,3.0552201858454433,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321426.1536922,0.2670644020754344,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321427.0433726,0.20570030489016525,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321599.221546,1.1734573623497329,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321447.0934775,0.11720735006096944,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321486.123028,0.13155803689418652,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321528.13665,0.13662805460545413,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321452.9227533,0.13044672099324214,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321435.8599563,0.1304299436279659,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321493.6650822,0.10274678290073408,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321419.7888336,0.15238697122752748,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321422.5539792,0.7881421001619782,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321623.719475,0.21221248326558462,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321520.271395,0.10570823738270174,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321433.896321,0.3539948973855691,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321505.5933921,0.20767890470784034,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321506.4102185,1.7757601188338237,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321452.2028701,0.16760996128123762,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321460.5461953,0.44700640722738894,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321554.9965813,0.24084356646247174,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321439.7196007,0.1826444433604376,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321555.4659898,0.12646898086007152,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321472.515911,0.27968338426508743,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321442.8051598,0.13400813193133032,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321467.921101,0.19690453936213284,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321451.8313603,0.6074168371425658,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321422.4527426,0.2863020223322558,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321437.0285795,0.532732860132891,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321496.1123054,0.3948867115353394,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321422.9244971,0.1415767310982612,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321439.6218507,0.43507273125941737,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321422.6596735,0.22188447524234084,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321564.291028,0.24296954596400916,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321456.6623724,0.10681629515637753,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321516.4177673,0.35136782478263817,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321427.859676,0.13312953807841407,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321511.4299324,1.0553968178358049,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321449.5334413,0.16471936893682784,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321435.1307547,0.31904792058487685,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321485.588866,0.5926943595089086,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321562.8849053,0.11089217529650207,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321484.431793,11.008402534113046,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321695.3473504,0.4794956406089025,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321428.6055167,0.15094981532490379,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321539.0524828,0.4839067813890209,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321445.5341754,0.14126694001357593,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321437.781463,0.11543148242549708,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321434.669337,0.21387273604932686,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321577.0800605,1.984108508098445,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321490.0427349,0.21704545829818023,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321512.3979986,5.144994159775862,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321444.110766,0.4499685140828013,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321421.5333567,0.30499135024040047,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321489.1409702,0.2613547087952193,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321513.4223619,0.15683580973016698,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321562.2224844,0.2822414592020119,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321431.4063876,0.12382218660036043,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321455.0891788,0.10370114806219904,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321514.5723035,0.4209677381016045,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321638.1489425,0.15622081170644173,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321446.2045686,0.15035680422651382,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321419.2588983,0.1114623634493449,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321464.5701365,0.10022762490622139,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321458.3788064,0.21668140192240976,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321421.6934438,0.22505066560113995,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321513.0710788,0.6957086877777685,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321448.7556286,0.659605628390421,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321428.3364043,0.11738306324172605,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321526.1162348,0.11172881298903498,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321446.9455538,0.4562527036359274,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321422.5574694,0.20450508140492152,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321478.8168244,0.12914355724770568,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321637.2870567,0.14047863750546594,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321537.9412997,0.15550973843023674,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321428.339408,0.14806244209447633,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321449.6787074,0.41120350563610386,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321469.285767,0.35745320887530757,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321522.3878655,4.325926835447517,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321433.2193484,5.544381031683955,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321420.218183,0.22604115443786854,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321458.2730389,0.13467783971592098,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321439.5724669,0.163258933302627,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321498.3824124,0.2162076349016236,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321452.4586952,0.1735972884970971,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321559.2339478,0.16199532886892262,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321606.5732007,0.1849998936161814,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321420.2261684,0.10779565408330723,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321571.427914,0.1710518782330322,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321475.825966,0.18162014395064305,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321489.6665745,0.3787672248730783,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321556.9643705,0.22093569878177333,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321469.7152267,0.1588717505276036,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321465.1688187,0.15321461176080245,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321470.1248684,0.6674806166763338,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321436.3633666,0.13744113042213052,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321452.4089298,0.13011769348512228,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321443.4999123,0.1050829971017095,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321448.8041432,0.29371955510621744,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321425.6151824,0.16331084651349137,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321444.275307,0.3655943438853131,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321563.7091868,1.0079640384066335,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321448.4760067,0.8344375693967957,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321479.7253351,0.11915982685075702,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321439.925531,0.43575711901831266,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321447.4719436,1.2640818699740524,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321494.6846125,0.45920078063037373,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321511.7938411,0.11986760828210657,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321442.9536164,0.11548554961067153,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321427.681207,0.11830091975310814,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321445.574381,0.11228003053789543,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321500.9137464,0.16866290607349854,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321454.5231545,1.0131719585384333,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321421.7576773,0.7207776933958994,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321431.8917801,0.7221515183162722,LHAASO,GRB221009A,0.151,1665321419.0,600.0
1665321474.1394436,0.3143054553222736,LHAASO,GRB221009A,0.151,1665321419.0,600.0
