time,energy,observatory,grb_name,redshift,trigger_time,t90
1665321460.7785144,0.3291903214605733,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321448.0760217,1.160077020458661,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321433.8619092,0.13830796996124958,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321422.1173987,0.6337460220537945,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321451.1092594,0.1087358809488897,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321458.4332125,0.1721917891220405,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321650.3320673,0.2403296930836344,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321458.0614166,0.8829074422644805,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321504.0822716,0.2675110816253152,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321543.0871415,0.26921211061982303,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321438.7962375,0.4977166106933328,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321440.2167704,0.10013094785614003,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321451.2479696,0.23704067656675615,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321429.954021,1.2427593974145743,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321423.98664,0.17937989491156184,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321453.4063816,0.1023224613783471,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321601.5330544,0.3193751905155213,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321483.7050278,0.12533324912572152,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321440.4134269,0.14365627461305472,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321552.3236353,0.16891725958069326,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321514.0334945,0.46515598172248507,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321660.5548441,0.11956310187002094,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321524.5052786,0.21083671509280077,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321475.9477239,0.6060751136945034,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321437.4198782,0.38095289947536864,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321437.668083,0.5769733025961166,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321543.8543663,0.10111041957917673,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321579.363365,0.7790896649414774,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321426.1670794,0.10738367109456957,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321516.8594818,0.12706042240822088,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321427.832322,0.16173800771281566,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321425.9864178,0.4473142647187766,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321424.8251672,0.10399776461312844,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321520.3974516,0.10049567327413761,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321504.1018906,0.29923701802680475,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321420.247638,0.43358136759523164,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321467.172845,1.4696802659215573,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321432.261549,0.22596002838827078,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321469.7020628,0.27085106445451673,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321539.5875392,0.12977355139493804,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321503.6800144,0.12636895550313917,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321763.8595634,0.20842244855076233,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321517.21604,0.16282657836525788,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321423.9897692,0.15221380902878495,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321594.2825363,0.127406590767484,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321433.0699673,0.15313531229446564,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321433.7370405,0.1017844598372753,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321438.399979,0.14272457441237324,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321724.2626247,0.8706586788623834,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321425.8069694,0.47221413159792064,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321439.8110993,0.4352776117116329,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321604.2999883,0.35546849855897844,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321438.1644707,0.10927771571074077,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321437.7788844,0.32625391447500485,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321427.3452697,0.12706519148319217,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321469.219647,0.11912754368425821,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321538.3679817,0.1911279206968585,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321514.439561,0.2779838325931948,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321440.83325,0.15847587982715572,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321482.4374878,0.22911486720659366,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321423.799957,0.25198077183086903,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321431.5667992,5.142009079455205,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321441.993287,0.10292134160281836,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321425.1777585,0.3737019204678821,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321457.2209952,0.14005930710491263,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321433.3527122,0.1591048920325645,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321506.4875739,0.1590325340083604,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321536.3699465,0.44348187617217594,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321425.219269,0.9149845677219255,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321436.4651277,0.16423130394193006,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321497.7699037,0.10909699431084133,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321540.4717143,0.10614144375387069,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321424.342663,0.33758996367839234,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321496.1868727,0.6734526140274144,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321419.5089104,0.15726460506667958,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321565.9307027,0.17504559148750976,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321439.1467667,0.37626164001825163,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321437.4425893,0.7012734334359847,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321514.919396,0.3980308593319134,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321496.5135808,0.1400728580776945,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321480.3760712,0.15509467203126706,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321452.6445398,0.11587398875563554,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321496.6621716,0.14591666708767048,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321420.437153,0.1281854367259319,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321439.2584198,0.8125057080669248,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321486.1129382,0.10043367503374344,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321463.2742665,0.9239627119445057,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321478.2856963,0.11836919887478817,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321446.889655,2.4763613899709105,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321551.936574,0.15047796889726375,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321565.799519,0.1336022304939339,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321459.8361356,0.1642637206708956,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321435.2355695,0.11370189308509293,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321441.567309,0.24539017184935444,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321436.9187057,0.10144007633892503,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321465.3990045,2.9738310338483283,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321515.417221,0.13100348559523345,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321599.4356544,0.2925347649269977,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321672.362459,0.2582245137086526,VERITAS,GRB221009A,0.151,1665321419.0,600.0
1665321442.6054037,0.6095518167148537,VERITAS,GRB221009A,0.151,1665321419.0,600.0
