time,energy,grb_name,redshift,trigger_time,t90,fluence,peak_flux
243216294.1623916,0.42629976855200047,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216296.83242592,0.21167000184466503,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216302.5235095,0.43855272067908396,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216295.27080745,0.45225322375676846,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216290.93570647,0.1753658540881307,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216302.5454582,0.29573932685449117,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216293.51308596,0.22742836591991009,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216310.41573885,0.1298544488270222,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216317.4259869,0.1435723072162274,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216291.18157828,0.10073710597157255,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216291.43450192,0.18456937590978445,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216291.64264274,0.35297625623120354,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216290.66020975,0.5380336129129077,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216299.99173188,0.10384405252959446,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216299.5798993,0.20244650795575755,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216290.75490788,0.1674136232516344,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216301.06956854,1.2326376254645721,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216292.33869442,0.16551721937319724,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216301.97369486,0.16132662092215172,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216294.00209817,0.10279849140061759,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216293.23884007,0.2700849752131829,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216290.82920218,0.3575777832775004,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
243216292.04524854,0.10899487265101795,GRB080916C,4.35,243216290.6,66.0,0.00032,1.8e-05
