time,energy,grb_name,redshift,trigger_time,t90,fluence,peak_flux
263607285.90489095,0.24953334836929214,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607286.06863675,0.13336314318571235,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.91454545,0.20839257163677996,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.95560944,0.13826483747249904,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.92429164,0.7878723826018095,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.94381583,0.14261582365872558,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.90798372,0.18076197602556038,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.9090746,0.4138260676847858,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.9098987,0.339651064138376,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.9450398,0.1667472767282961,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.92550337,0.9283187257702071,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.90198517,0.2378805818405395,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.90868518,0.2225063581421888,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.95250133,0.10087265402036408,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.91981688,0.7457016896710303,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.9521652,0.15790165495026387,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607286.01330125,0.15304078102730193,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.90294406,0.14658204171447986,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.93842408,0.11822162285734186,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.9321175,0.13934833828348944,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.98228323,0.4112761404183761,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.91269258,0.10461954102502123,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.90543345,0.10040936521151955,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.94914824,0.13743455012989353,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.91114217,0.9383755774541331,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.90017188,0.21238141760684326,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.92865014,5.247563432928137,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.90890032,0.1712651532125791,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.92132264,0.14818832520633074,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.91205177,0.14559461987654757,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.90869516,1.5469808829300409,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.91984785,0.10273808357281773,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.9385271,0.20039592246767848,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.94416848,0.11792948483723083,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.97737527,0.13495090152533953,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.904185,0.3085372586319288,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.91862738,0.2948583043484518,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.91336647,0.17360805288143807,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.91065136,0.10451149240099909,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.9704849,0.101626113976361,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.92077595,7.396695559959979,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.91656774,0.6154476958722954,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.95937142,1.0653759311844175,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.90693283,0.43974194373414444,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.9216672,0.12012959747358778,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.9956652,0.14195441713393162,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.9138495,0.10719932362270242,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.94289285,0.30098902144734674,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.91640496,0.22821292301758145,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.90750754,2.8514158992374474,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.91190737,0.1266881220293181,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.91403043,0.13259352677274772,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.90833575,0.12015129807281444,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.9508828,0.2259830764114546,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.99254358,0.14343765406672082,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.90283266,0.23080711262379833,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.9421911,0.2738703373652955,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.90974715,0.8145038741480765,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.90587208,0.45958502576939186,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.95942625,0.28877330717637933,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.9018114,0.10403277443775966,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.90133,0.109236151660644,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.91249713,0.4620511345140349,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.95795503,1.395735948673191,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.93695644,1.1840961721861678,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
263607285.9555956,0.13052665673924355,GRB090510,0.903,263607285.9,0.3,2.1e-05,0.00012
