time,energy,grb_name,redshift,trigger_time,t90,fluence,peak_flux
388798997.26741105,0.1013429058270468,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799035.9810854,0.13126740048338514,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799003.96747845,0.19564103503248648,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388798999.25441235,0.16498888469789919,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799003.2597159,0.3802790038440395,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799004.22536284,0.16683300320097297,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799008.3262516,0.12487137791560393,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799007.49266064,0.15599891783588896,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799010.8595716,0.1881104241346294,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799017.4243059,0.13799872656632586,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799005.0345064,0.11242632746536062,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799033.809864,10.493444422616054,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799001.3992765,0.40568223566948974,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799087.2202373,0.46667846865622603,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799007.8531483,0.2444328527610034,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799017.6127636,0.3924926662143434,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799005.2592455,0.10560585041511772,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799012.4037322,0.10114976104407325,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799011.53143656,0.25010460331342843,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799004.63501036,0.8161117682172758,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799001.7247472,1.6672943787282912,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799004.3482584,0.10791561115633173,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388798999.73163337,0.13223698495289798,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799000.33980656,0.2200708377633156,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799003.2071688,0.20353545064481185,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799010.1476477,2.138050732023625,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799044.57640344,0.6164944430864555,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799004.7771091,0.4295039071220691,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799002.2621148,0.43328685262207806,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388798997.8495574,0.12299441748487439,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799002.75962216,0.21250334580925478,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
388799014.2325592,0.46330072205931105,GRB130427A,0.34,388798997.2,138.0,0.0018,0.00011
