ENERGY,TIME,RA,DEC
109.7609,263607151.5306351,329.18515,-14.089888
1119.6263,263607679.04748023,326.5889,-13.915095
446.86176,263607724.75107884,329.94934,-16.647058
264.5528,263607783.87700403,333.0068,-23.027023
207.77919,263608124.3077651,330.41614,-16.336872
113.13855,263608511.6493924,333.2254,-20.515776
113.0893,263609068.90157083,328.40823,-18.026129
46427.492,263609262.87062538,325.8655,-14.501083
167.20314,263609370.42819768,327.1134,-13.75834
104.666176,263609377.4995713,327.76132,-13.629017
119.058495,263609388.87535822,330.00867,-15.640223
119.05259,263609409.23934484,332.17667,-22.186028
130.25923,263609430.2665279,327.56232,-15.497488
197.88567,263609434.13431948,327.98663,-15.365479
152.8378,263609435.62419602,327.75723,-14.973961
111.832405,263609442.14771256,332.91534,-16.991945
135.72664,263609444.44887552,333.67715,-17.888153
1660.9,263609449.98723358,325.7926,-14.581242
105.634544,263609455.8670906,327.03656,-15.714174
392.01306,263609456.47989634,328.5146,-13.844326
150.19156,263609457.4497674,332.37183,-14.68788
130.76715,263609457.4684358,330.26047,-15.465824
161.39122,263609463.18690374,326.1379,-14.660753
324.84216,263609468.88526982,327.44138,-16.043179
211.74092,263609477.37521318,328.95984,-14.431673
113.64376,263609479.58034924,328.72952,-18.188341
124.66606,263609480.8798269,325.85165,-14.0777
155.4645,263609481.57707018,330.01788,-18.004265
106.072815,263609482.1313808,333.09283,-15.377641
1692.5616,263609493.2446108,328.13315,-15.129819
215.49933,263609494.2077119,327.05847,-15.310867
3184.7957,263609498.6375441,327.30096,-16.384546
100.35059,263609498.7579498,329.38165,-12.348787
1077.6885,263609499.02020746,325.83612,-14.20297
1294.3004,263609499.87397334,327.65067,-15.622003
117.386,263609500.78336012,331.3149,-12.435808
112.10232,263609502.58279094,333.90115,-18.328081
356.52368,263609502.58829814,326.05853,-15.077265
524.45166,263609503.30802456,327.6684,-14.766686
212.03137,263609504.2070975,325.93207,-13.76016
556.4574,263609506.579325,328.1583,-17.009888
169.53821,263609508.5870559,328.6437,-13.215542
109.22264,263609508.5957084,330.99442,-17.753956
109.99443,263609510.57683313,330.169,-18.555075
176.7958,263609511.89692107,327.6098,-12.873945
129.86577,263609512.12764344,330.0224,-12.57033
109.809814,263609514.41949266,333.42676,-18.216251
998.00793,263609514.8139433,328.92072,-13.141041
557.4778,263609515.98611838,328.1155,-14.486973
3981.7212,263609516.0740241,329.3473,-14.681143
883.1862,263609516.31208488,329.2376,-12.692925
442.39612,263609518.8186429,327.2266,-14.54859
231.16454,263609519.34407312,328.0722,-13.179638
528.31854,263609519.7017783,326.88074,-13.2963915
121.173004,263609519.8792621,327.7707,-13.424247
199.65398,263609522.84589812,328.71222,-13.249822
372.93155,263609523.23488718,330.44043,-17.451403
164.21587,263609524.569082,329.81693,-17.407904
591.9358,263609525.5462784,329.59064,-13.069614
879.8665,263609525.7280911,329.25217,-15.327226
598.34344,263609527.556194,327.67365,-16.808008
286.8261,263609527.98151603,328.06995,-14.092786
165.3557,263609528.29235637,329.09247,-17.998594
412.00494,263609528.55571017,326.69672,-14.120023
164.88593,263609529.4902198,327.9317,-15.749849
216.96484,263609530.26026583,329.88705,-18.887594
1889.397,263609530.43490982,326.01535,-14.467923
408.81946,263609531.60672906,329.62454,-16.032759
270.06387,263609534.94330716,325.97473,-14.502364
260.03046,263609535.90170085,327.53027,-13.792115
151.36566,263609537.1825595,332.70285,-15.622847
403.8966,263609537.66061795,333.96652,-13.312521
176.41531,263609539.3212283,328.923,-15.3827305
144.22865,263609540.67592275,331.7895,-13.586558
155.78854,263609541.97328442,328.40222,-17.173344
1054.7266,263609543.980706,329.35086,-18.593407
285.21924,263609546.55904174,326.01987,-15.056906
153.62086,263609547.37311417,330.399,-13.320146
107.46527,263609547.9036183,331.66754,-12.969922
744.5752,263609548.02674124,326.1507,-13.936141
133.28238,263609550.11123613,329.3955,-13.028514
102.1317,263609550.57598233,328.1144,-12.520099
3235.307,263609551.68932623,329.52005,-17.218548
132.18307,263609553.63948265,329.29514,-18.204145
119.51196,263609553.91142106,328.4181,-13.231729
214.0602,263609555.22561175,330.45343,-19.139309
111.1089,263609555.5715053,330.7761,-13.832108
1180.578,263609555.84459832,331.33722,-12.572374
514.4776,263609556.02448532,328.82953,-16.45315
365.14795,263609556.47987825,328.88885,-12.595838
201.07112,263609556.56729308,329.58353,-14.382891
473.63168,263609557.14769453,328.14066,-13.98715
961.07214,263609557.9508135,328.64725,-12.647157
708.23883,263609558.121337,329.72217,-15.380025
420.829,263609558.24856564,328.45886,-14.641499
1085.7468,263609558.48378584,330.4953,-13.016887
238.90218,263609559.76249182,331.8361,-17.24078
258.19574,263609560.05373123,328.38544,-17.117882
175.9684,263609560.91725597,329.00806,-15.208271
466.24142,263609561.5419487,330.85394,-16.460571
832.0876,263609561.8445357,330.97623,-17.409801
444.3107,263609562.30151474,329.8854,-19.758078
316.54016,263609562.79466236,329.82983,-13.310588
114.33512,263609563.16677612,330.55304,-17.04927
685.2536,263609563.23174253,330.27182,-14.366847
