ENERGY,TIME,RA,DEC
854.0338,388614532.0050811,183.94604,17.384579
244.31693,388615018.82825845,180.4463,17.019747
134.08887,388615390.4613183,182.53638,19.123203
973.94165,388626539.9096058,184.49098,18.166319
111.928696,388637813.92076707,180.15852,17.923641
187.48914,388638016.732649,181.56432,15.912626
103.17908,388638255.7284056,182.79895,18.281567
3398.7207,388648278.3864068,182.6249,17.57885
141.33456,388648738.52830976,181.26074,19.280607
168.74352,388649010.8624767,184.14977,18.774284
163.93105,388649619.9681447,180.15228,17.737516
143.69855,388671497.00210524,184.38719,17.016878
184.82541,388672020.1602822,180.2889,15.841224
143.81654,388694314.35520107,180.2215,15.010939
339.97266,388694697.277926,181.51764,17.59597
163.91809,388695904.4027722,182.24123,15.845041
251.10583,388599503.89066166,180.4387,40.440945
447.6691,388599595.8651944,181.38123,39.7236
105.21476,388599617.8388045,181.85783,34.486267
1772.0198,388599655.320575,184.93562,36.32036
186.24887,388603623.60057366,182.63701,36.342827
292.32074,388603839.45122844,185.22746,34.530632
447.30215,388604178.76106673,184.72859,36.148857
385.2731,388610999.4376398,183.65578,35.679516
2285.9714,388611030.1439304,180.40125,36.956673
964.58966,388611056.46164006,183.25546,36.702686
422.7834,388611127.2858032,181.0675,36.843784
266.0246,388622519.34521455,180.53136,38.652714
662.92456,388622544.14775884,183.87497,37.00481
658.1721,388622554.1371059,186.58401,36.00543
488.2886,388622629.638288,180.70029,40.099
320.90887,388624537.48854756,180.15715,40.885677
345.52472,388633976.39828134,180.47484,37.391125
261.86746,388634005.5772323,180.85023,40.24939
447.34067,388634022.0385633,181.84517,39.61544
776.06036,388634024.8939984,180.50803,39.073093
266.19742,388634092.3992013,180.00157,39.78136
352.66986,388635945.811036,180.68019,40.301155
236.20935,388636821.7641359,185.86327,35.548088
442.05322,388638212.2908429,185.35214,35.137352
167.09358,388645483.1428957,181.29492,40.041264
1556.7948,388645487.03009063,182.98615,39.88577
102.63497,388647342.8730608,180.37688,41.09235
217.6675,388647530.66227794,186.13768,35.88677
103.08782,388649543.9450247,181.01735,35.264004
1982.4318,388649813.6673648,184.98676,37.883667
173.96031,388658834.10855454,181.94347,40.353134
1594.5204,388658857.22189736,184.44641,39.386234
302.5112,388658864.7489273,181.8926,38.256065
3105.7131,388661942.2048248,185.74263,35.661976
430.5803,388670283.35096824,182.91956,37.57585
331.74695,388671110.27339464,180.44002,36.996433
952.9354,388671753.7113522,184.55942,38.358387
105.96803,388672371.8646287,181.02374,40.38377
611.7691,388679842.33140904,180.92557,38.273193
705.6661,388684623.1269763,181.75954,34.4756
127.1836,388603156.849908,185.48303,27.193094
205.09003,388603749.9240196,186.28255,27.63757
2081.5662,388603844.0155705,180.54033,24.29899
161.4295,388603913.42166114,188.74164,26.058046
139.47595,388604027.28862953,189.36284,25.785913
1537.8826,388610969.70916104,180.18663,33.575455
294.32416,388614618.9285555,181.06279,24.540237
191.09813,388614973.3631662,183.79956,24.883951
1253.4741,388615335.7408621,180.67189,27.071974
330.08337,388615435.3689134,186.27446,28.138922
387.08334,388615654.51234436,186.30838,23.81115
217.11977,388627369.9053283,186.0271,24.264648
240.65251,388638051.0756488,183.95146,24.341179
319.14307,388638308.8560979,181.60278,30.476328
371.6712,388638417.3181394,180.65594,27.937412
529.75464,388639149.21281934,184.76195,29.13042
209.71483,388648387.82935756,180.55647,29.029743
137.89081,388648725.8543746,184.68341,25.869617
512.59436,388648938.5388572,182.55362,24.193668
1195.686,388649203.20504594,184.70692,29.957954
121.84033,388649854.88186616,186.79692,26.986706
1024.0333,388649959.7672341,183.08083,24.493103
277.37717,388659569.3579847,181.92831,28.716166
159.65968,388660144.7930286,185.46594,24.9148
175.0009,388660255.7437193,184.13853,29.602358
155.33511,388660339.58808297,189.58693,25.475147
1862.9094,388660353.3994561,180.36058,31.211851
166.10048,388660892.15957874,186.8382,28.71386
856.7292,388661554.6753825,187.40662,25.03483
297.08517,388661729.69791865,180.67207,30.41176
355.2553,388671847.3592191,185.39981,28.064928
547.12866,388671855.82841885,184.29797,27.6666
1512.6464,388672361.041488,184.56538,30.39128
451.55154,388672370.4992488,188.72115,24.435904
312.3938,388672936.2007688,188.0542,25.15064
205.18544,388673317.89573824,180.62125,27.795593
1167.3157,388682462.6121761,184.5079,30.176601
118.51119,388683592.3211835,182.59511,30.800762
146.16202,388684460.20468235,180.30379,29.18648
144.56215,388694774.4133132,183.44916,26.761965
1179.0846,388695530.44436586,187.21861,27.418997
102.46165,388695931.65974844,185.45726,24.197691
3405.94,388599628.44349414,188.3553,34.213974
591.9232,388603842.7739961,184.99326,30.597431
16359.985,388604371.7653923,187.71324,29.436546
593.8148,388622470.7659555,185.42194,32.131
204.249,388626538.9090351,188.67543,34.637554
314.52206,388626693.66641974,187.68518,30.992592
188.95198,388627185.4612922,188.28284,29.923817
1553.2921,388648756.81995964,186.69316,33.714176
107.98214,388649241.94697237,188.1152,28.192646
1714.5248,388659873.7036807,183.16873,32.302498
192.74641,388660164.444232,183.35774,32.113144
278.41528,388661773.7398537,183.69429,31.474773
485.69562,388682314.348586,189.06306,29.639477
151.61853,388683799.02384615,189.7893,29.959156
105.31337,388684414.5197382,185.7991,31.250473
262.3392,388602895.2385515,187.92336,21.569103
417.8472,388603506.4482387,186.5884,20.012844
157.5337,388614426.8556992,184.53172,21.136703
119.84285,388614564.9914315,185.45016,20.723637
463.88785,388615098.00816035,185.9639,18.858341
349.0,388616155.7604116,181.16455,22.250614
108.33383,388649446.3447735,183.60902,22.17073
461.60678,388649501.0149036,182.57289,20.969986
237.41663,388659982.7697711,184.43402,18.680666
521.72144,388660750.4166294,184.95305,19.49635
386.43777,388672167.7037482,186.22928,22.495275
254.82982,388673283.5501221,185.71883,19.951397
130.50394,388683176.45843965,183.47151,21.507572
123.99454,388683497.2675215,184.74893,22.205591
157.14055,388695965.35803485,185.6095,21.794651
321.4067,388602432.47042996,172.532,15.183809
388.02695,388603644.0175444,177.43704,18.786814
192.7717,388604134.0400554,178.81058,15.758496
295.2499,388614368.86285865,176.35582,16.96042
497.64386,388614490.95707315,177.75623,17.481276
108.8778,388615323.0924655,177.7274,15.505816
379.369,388615718.2428506,179.53099,21.85139
612.9207,388626361.61230004,178.0244,18.014778
129.39197,388626648.53637266,179.54044,15.037643
478.1657,388638415.44914484,174.9901,17.129475
626.10034,388647722.78072035,175.11313,17.376307
102.21576,388648297.72210634,173.93037,16.169544
604.67615,388649693.99557626,176.27568,13.295104
1473.3894,388649710.1086099,172.33469,13.912447
576.11316,388649867.6744499,178.09618,15.725438
113.59422,388649926.02825767,178.58386,18.57113
198.01524,388659443.86037624,175.264,13.818228
284.84125,388660038.2109322,174.23666,16.025602
102.11887,388660904.02173483,176.19449,18.100029
113.55005,388670866.562375,178.68024,16.88907
499.9317,388671270.16055065,172.69429,13.686609
122.42431,388672827.65956545,173.93896,16.899603
3981.451,388682788.8803996,175.50507,15.781759
251.38034,388683006.82536244,174.01181,13.041155
131.26878,388683191.233632,179.98347,19.300104
120.71764,388683717.66244537,179.73242,17.069294
124.863,388684006.4555554,178.00764,18.129414
123.922035,388684291.7296957,171.48466,13.805449
157.75804,388694411.0654131,179.63039,14.267434
500.38754,388694613.8307759,176.59776,17.759386
370.7609,388694801.1908519,170.88655,13.485288
187.65234,388599497.0156574,174.01328,40.69863
363.37225,388599540.33805287,172.86165,35.84128
1462.9363,388599548.6598882,171.99661,37.279484
